"Year","Municipality","Type of debt","Household-dwelling units","Debts (euros)","Debts, mean (euros)"
"2002","Espoo","Debts total","All household-dwelling units",3797192262,40571
"2002","Espoo","Housing loans","All household-dwelling units",2835330521,30294
"2002","Espoo","Other debts","All household-dwelling units",642842274,6868
"2002","Espoo","Loans charged on business activities or a source of income","All household-dwelling units",216877205,2317
"2002","Espoo","Study loans","All household-dwelling units",102142593,1091
"2002","Helsinki","Debts total","All household-dwelling units",7224730455,25346
"2002","Helsinki","Housing loans","All household-dwelling units",4871706987,17091
"2002","Helsinki","Other debts","All household-dwelling units",1439509194,5050
"2002","Helsinki","Loans charged on business activities or a source of income","All household-dwelling units",537260438,1885
"2002","Helsinki","Study loans","All household-dwelling units",376254401,1320
"2002","Hyvinkää","Debts total","All household-dwelling units",591295625,30275
"2002","Hyvinkää","Housing loans","All household-dwelling units",430776158,22056
"2002","Hyvinkää","Other debts","All household-dwelling units",111135648,5690
"2002","Hyvinkää","Loans charged on business activities or a source of income","All household-dwelling units",35220017,1803
"2002","Hyvinkää","Study loans","All household-dwelling units",14163816,725
"2002","Järvenpää","Debts total","All household-dwelling units",595441631,37627
"2002","Järvenpää","Housing loans","All household-dwelling units",459388153,29029
"2002","Järvenpää","Other debts","All household-dwelling units",104997800,6635
"2002","Järvenpää","Loans charged on business activities or a source of income","All household-dwelling units",17219651,1088
"2002","Järvenpää","Study loans","All household-dwelling units",13835991,874
"2002","Karkkila","Debts total","All household-dwelling units",106841779,27165
"2002","Karkkila","Housing loans","All household-dwelling units",74400284,18917
"2002","Karkkila","Other debts","All household-dwelling units",22190019,5642
"2002","Karkkila","Loans charged on business activities or a source of income","All household-dwelling units",8637382,2196
"2002","Karkkila","Study loans","All household-dwelling units",1614096,410
"2002","Kauniainen","Debts total","All household-dwelling units",188787188,57663
"2002","Kauniainen","Housing loans","All household-dwelling units",129179677,39456
"2002","Kauniainen","Other debts","All household-dwelling units",32225536,9843
"2002","Kauniainen","Loans charged on business activities or a source of income","All household-dwelling units",24538798,7495
"2002","Kauniainen","Study loans","All household-dwelling units",2843168,868
"2002","Kerava","Debts total","All household-dwelling units",422716423,30824
"2002","Kerava","Housing loans","All household-dwelling units",316839924,23103
"2002","Kerava","Other debts","All household-dwelling units",83352982,6078
"2002","Kerava","Loans charged on business activities or a source of income","All household-dwelling units",12493326,911
"2002","Kerava","Study loans","All household-dwelling units",10030330,731
"2002","Kirkkonummi","Debts total","All household-dwelling units",579831020,47512
"2002","Kirkkonummi","Housing loans","All household-dwelling units",450103540,36882
"2002","Kirkkonummi","Other debts","All household-dwelling units",96425599,7901
"2002","Kirkkonummi","Loans charged on business activities or a source of income","All household-dwelling units",23443186,1921
"2002","Kirkkonummi","Study loans","All household-dwelling units",9858718,808
"2002","Lohja","Debts total","All household-dwelling units",608643085,31834
"2002","Lohja","Housing loans","All household-dwelling units",432876577,22641
"2002","Lohja","Other debts","All household-dwelling units",114914937,6011
"2002","Lohja","Loans charged on business activities or a source of income","All household-dwelling units",50262283,2629
"2002","Lohja","Study loans","All household-dwelling units",10589438,554
"2002","Mäntsälä","Debts total","All household-dwelling units",278363288,40560
"2002","Mäntsälä","Housing loans","All household-dwelling units",193876894,28250
"2002","Mäntsälä","Other debts","All household-dwelling units",56677904,8258
"2002","Mäntsälä","Loans charged on business activities or a source of income","All household-dwelling units",24242524,3532
"2002","Mäntsälä","Study loans","All household-dwelling units",3566034,520
"2002","Nurmijärvi","Debts total","All household-dwelling units",625649052,47563
"2002","Nurmijärvi","Housing loans","All household-dwelling units",489097441,37182
"2002","Nurmijärvi","Other debts","All household-dwelling units",102577304,7798
"2002","Nurmijärvi","Loans charged on business activities or a source of income","All household-dwelling units",26077392,1982
"2002","Nurmijärvi","Study loans","All household-dwelling units",7897006,600
"2002","Pornainen","Debts total","All household-dwelling units",78589437,52922
"2002","Pornainen","Housing loans","All household-dwelling units",57309757,38592
"2002","Pornainen","Other debts","All household-dwelling units",12573061,8467
"2002","Pornainen","Loans charged on business activities or a source of income","All household-dwelling units",7902428,5322
"2002","Pornainen","Study loans","All household-dwelling units",804235,542
"2002","Sipoo","Debts total","All household-dwelling units",282714994,44840
"2002","Sipoo","Housing loans","All household-dwelling units",199244856,31601
"2002","Sipoo","Other debts","All household-dwelling units",51268905,8131
"2002","Sipoo","Loans charged on business activities or a source of income","All household-dwelling units",28642856,4543
"2002","Sipoo","Study loans","All household-dwelling units",3558367,564
"2002","Siuntio","Debts total","All household-dwelling units",104413216,52948
"2002","Siuntio","Housing loans","All household-dwelling units",75928927,38504
"2002","Siuntio","Other debts","All household-dwelling units",17767813,9010
"2002","Siuntio","Loans charged on business activities or a source of income","All household-dwelling units",9371262,4752
"2002","Siuntio","Study loans","All household-dwelling units",1345266,682
"2002","Tuusula","Debts total","All household-dwelling units",598602671,45884
"2002","Tuusula","Housing loans","All household-dwelling units",467649572,35846
"2002","Tuusula","Other debts","All household-dwelling units",100945864,7738
"2002","Tuusula","Loans charged on business activities or a source of income","All household-dwelling units",21265239,1630
"2002","Tuusula","Study loans","All household-dwelling units",8742066,670
"2002","Vantaa","Debts total","All household-dwelling units",2470036056,30908
"2002","Vantaa","Housing loans","All household-dwelling units",1827387194,22866
"2002","Vantaa","Other debts","All household-dwelling units",496737649,6216
"2002","Vantaa","Loans charged on business activities or a source of income","All household-dwelling units",78970865,988
"2002","Vantaa","Study loans","All household-dwelling units",66940514,838
"2002","Vihti","Debts total","All household-dwelling units",444889847,44668
"2002","Vihti","Housing loans","All household-dwelling units",332652135,33399
"2002","Vihti","Other debts","All household-dwelling units",78100798,7841
"2002","Vihti","Loans charged on business activities or a source of income","All household-dwelling units",27418898,2753
"2002","Vihti","Study loans","All household-dwelling units",6718144,675
"2002","Lapinjärvi","Debts total","All household-dwelling units",40669507,31600
"2002","Lapinjärvi","Housing loans","All household-dwelling units",14776046,11481
"2002","Lapinjärvi","Other debts","All household-dwelling units",7050210,5478
"2002","Lapinjärvi","Loans charged on business activities or a source of income","All household-dwelling units",18331479,14244
"2002","Lapinjärvi","Study loans","All household-dwelling units",511785,398
"2002","Loviisa","Debts total","All household-dwelling units",182610056,25583
"2002","Loviisa","Housing loans","All household-dwelling units",106472781,14916
"2002","Loviisa","Other debts","All household-dwelling units",42541200,5960
"2002","Loviisa","Loans charged on business activities or a source of income","All household-dwelling units",30314514,4247
"2002","Loviisa","Study loans","All household-dwelling units",3281571,460
"2002","Askola","Debts total","All household-dwelling units",78397867,45395
"2002","Askola","Housing loans","All household-dwelling units",45428284,26305
"2002","Askola","Other debts","All household-dwelling units",15158382,8777
"2002","Askola","Loans charged on business activities or a source of income","All household-dwelling units",17001204,9844
"2002","Askola","Study loans","All household-dwelling units",809992,469
"2002","Myrskylä","Debts total","All household-dwelling units",23348797,28267
"2002","Myrskylä","Housing loans","All household-dwelling units",9693357,11735
"2002","Myrskylä","Other debts","All household-dwelling units",4426567,5359
"2002","Myrskylä","Loans charged on business activities or a source of income","All household-dwelling units",8866934,10735
"2002","Myrskylä","Study loans","All household-dwelling units",361950,438
"2002","Porvoo","Debts total","All household-dwelling units",696383091,35187
"2002","Porvoo","Housing loans","All household-dwelling units",499067076,25217
"2002","Porvoo","Other debts","All household-dwelling units",126795732,6407
"2002","Porvoo","Loans charged on business activities or a source of income","All household-dwelling units",55755403,2817
