mean_debt_euro_buisiness,income,Pensioner_housing_allowance,School_travel_allowance,Rehabilitation,Rehabilitation_allowance,Child_benefit,Medical_benefits,Unemployment_insurance,Disability_benefits,Temporary_power_support,General_housing_allowance,mean_debt_euro_housing,mean_debt_euro_other,pop_rate,poverty_rate,mean_debt_euro_total,year,municipality,depression,involuntary_care,psychotic
1962.0,34802,0.0,374.0,264.0,199.0,1743.0,11054.0,601.0,0.0,0.0,0.0,39610,9701,57.4,13.8,51734,2008,Akaa,-0.103547640255718,0.390591288258798,-0.344027093251435
1923.0,33425,0.0,373.0,249.0,174.0,1761.0,11077.0,696.0,0.0,0.0,0.0,41453,9932,57.5,13.3,53777,2009,Akaa,0.0843428144303203,0.484997204275607,-0.312392997898391
2105.0,33651,0.0,385.0,235.0,174.0,1766.0,11206.0,696.0,0.0,0.0,0.0,42979,9540,58.0,12.9,55076,2010,Akaa,0.0375499269594505,0.165946574908057,-0.593817383631111
1904.0,34486,0.0,433.0,297.0,202.0,2049.0,13345.0,841.0,0.0,0.0,0.0,43804,9861,58.3,12.8,56014,2011,Akaa,0.0716312108250665,-0.127284626972466,-0.429873206305698
2059.0,34664,0.0,420.0,308.0,206.0,2047.0,13357.0,841.0,0.0,0.0,0.0,43742,8761,58.4,11.7,54985,2012,Akaa,0.216819580445411,0.393427797940094,-0.326739287659577
2086.0,34248,0.0,477.0,329.0,214.0,2044.0,13228.0,893.0,0.0,0.0,0.0,43430,8742,58.4,11.1,54679,2013,Akaa,0.391620720728622,0.101072328866612,-0.0548755971027416
1985.0,33724,0.0,461.0,355.0,214.0,2023.0,13300.0,937.0,0.0,0.0,0.0,42750,9106,58.2,10.9,54247,2014,Akaa,0.4918044064142,0.24068171005801,-0.212798160077394
2047.0,33822,0.0,485.0,379.0,222.0,1984.0,13301.0,951.0,0.0,0.0,0.0,42682,10043,58.1,11.0,54771,2015,Akaa,0.621533281665191,-0.09188308394741,-0.346950780906084
2177.0,33791,0.0,460.0,359.0,192.0,1962.0,12110.0,964.0,0.0,0.0,0.0,42286,10881,57.7,11.7,55344,2016,Akaa,0.521166822925302,-0.418958548038925,-0.46624919843707
2352.0,34058,0.0,463.0,374.0,187.0,1952.0,11724.0,971.0,0.0,0.0,0.0,41083,11481,57.2,11.5,54917,2017,Akaa,0.959516434819766,0.887385268940332,-0.615241889810844
2678.0,35138,519.6153846,210.8461538,200.3846154,89.69230769,1853.769231,5765.615385,573.5384615,800.6923077,0.0,553.3846154,39932,11284,56.6,11.9,53894,2018,Akaa,1.38107055539082,1.12376104366338,-0.323429799738706
2925.0,35718,518.0769231,206.4615385,207.8461538,93.69230769,1807.923077,5729.384615,538.4615385,781.5384615,0.0,531.9230769,38438,11336,56.2,12.7,52699,2019,Akaa,1.82247315807545,1.11826817671796,-0.398077118193997
2661.0,34931,519.6153846,186.9230769,227.4615385,104.3076923,1778.461538,5535.153846,612.8461538,827.8461538,0.0,552.6923077,38175,12271,55.9,11.6,53107,2020,Akaa,2.03546902496102,0.99937063570497,-0.257606704811117
2800.0,35771,535.5384615,225.6666667,261.6153846,126.3846154,1753.230769,5651.769231,591.7692308,824.3846154,0.0,549.7692308,37504,12192,56.2,12.3,52496,2021,Akaa,2.41012865780475,1.18799514551917,-0.45089413320678
2724.0,35469,547.4615385,266.6923077,274.6923077,133.8461538,1723.0,5885.0,504.5384615,844.2307692,0.0,528.3846154,35697,11718,56.2,11.7,50140,2022,Akaa,2.87170814101042,0.971227267819872,-0.420199850125323
5610.0,25990,0.0,130.0,54.0,37.0,317.0,1882.0,84.0,0.0,4.0,0.0,23659,15822,11.0,20.7,45534,2008,Alavieska,0.131783803130624,-0.468960647158171,0.558206923130583
6988.0,25808,0.0,130.0,49.0,34.0,309.0,1890.0,111.0,0.0,4.0,0.0,24201,15921,11.0,19.1,47519,2009,Alavieska,0.0810768283472333,-0.193731818232508,0.954965538566617
6555.0,26600,0.0,140.0,35.0,21.0,311.0,1921.0,122.0,0.0,4.0,0.0,25131,17455,11.0,18.8,49555,2010,Alavieska,-0.194318508156515,-0.66684592268132,0.730621041631673
5983.0,27805,0.0,149.0,42.0,26.0,304.0,1922.0,112.0,0.0,4.0,0.0,26982,18220,10.9,19.1,51619,2011,Alavieska,-0.0341526337959169,-0.726757137703594,0.942241222676551
6187.0,27963,0.0,147.0,52.0,26.0,296.0,1948.0,122.0,0.0,4.0,0.0,28376,16935,11.0,18.1,51945,2012,Alavieska,0.357740458424418,-0.338597851838201,0.583440319921547
6922.0,27415,0.0,148.0,51.0,24.0,294.0,1928.0,128.0,0.0,4.0,0.0,27714,16802,10.9,17.9,51872,2013,Alavieska,0.253581513371926,-0.179014121976705,0.569410637831303
7146.0,27042,0.0,144.0,53.0,20.0,287.0,1819.0,125.0,0.0,4.0,0.0,27025,16822,10.7,16.0,51422,2014,Alavieska,-0.151104326360044,-0.444787666083886,0.340925858520413
6875.0,26776,0.0,123.0,52.0,25.0,294.0,1850.0,123.0,0.0,4.0,0.0,26271,17938,10.7,17.6,51083,2015,Alavieska,-0.336911946282914,-0.681799342691181,0.310798904221743
7096.0,27329,0.0,115.0,54.0,26.0,286.0,1649.0,116.0,0.0,4.0,0.0,26975,16157,10.5,17.9,50229,2016,Alavieska,-0.160136231997584,-0.699406185489329,0.72434306876737
5921.0,28562,0.0,133.0,51.0,14.0,277.0,1577.0,110.0,0.0,4.0,0.0,26926,18483,10.4,16.4,51330,2017,Alavieska,-0.501331163731808,-0.165444945576312,0.49198022131264
5299.0,29495,105.3076923,54.33333333,23.38461538,6.222222222,261.3846154,777.4615385,59.30769231,195.0769231,4.0,60.30769231,26113,15999,10.2,18.0,47412,2018,Alavieska,-0.238205414017639,0.344823809331389,0.362571214174793
6478.0,29466,100.7692308,56.41666667,24.61538462,6.0,248.3846154,771.7692308,51.30769231,191.8461538,4.0,56.38461538,26312,15863,10.0,16.8,48653,2019,Alavieska,0.473444329973945,-0.254615383679531,0.569563475415316
5903.0,30104,91.76923077,48.27272727,27.61538462,5.777777778,249.0769231,761.3846154,57.46153846,200.3846154,4.0,55.84615385,26799,15338,10.0,15.9,48039,2020,Alavieska,0.92696571180621,-0.928439691153873,0.761210264746725
5185.0,30992,87.0,41.83333333,34.92307692,7.454545455,241.7692308,769.6923077,54.30769231,200.4615385,4.0,53.38461538,25623,13817,9.9,16.7,44625,2021,Alavieska,1.32827349654086,-0.856084406410056,0.789916833472886
3972.0,30261,86.76923077,51.09090909,42.69230769,11.15384615,240.3846154,780.1538462,52.15384615,188.9230769,4.0,49.07692308,23971,11579,9.7,16.9,39521,2022,Alavieska,1.8504290404258,-0.934897494949406,0.566185657417823
5096.0,26642,0.0,255.0,165.0,131.0,970.0,7048.0,336.0,0.0,4.0,0.0,22361,12175,11.7,18.9,39969,2008,Alavus,-0.543554799583734,0.0909301056537304,0.253385735340099
4422.0,25983,0.0,243.0,143.0,112.0,968.0,7045.0,375.0,0.0,4.0,0.0,23673,13427,11.6,18.9,41853,2009,Alavus,-0.490428341698639,-0.0767575904735495,0.132573895608607
4625.0,26284,0.0,248.0,138.0,93.0,949.0,7085.0,382.0,0.0,4.0,0.0,25263,14532,11.4,18.7,44748,2010,Alavus,-0.213564188980953,-0.36546643496024,0.383053163218548
5457.0,26501,0.0,233.0,129.0,78.0,930.0,7025.0,363.0,0.0,4.0,0.0,26167,14194,11.4,18.7,46153,2011,Alavus,-0.152907432684752,0.0933953516499842,0.214070239830425
5726.0,26371,0.0,240.0,135.0,85.0,928.0,6979.0,366.0,0.0,4.0,0.0,26640,13115,11.3,17.2,45819,2012,Alavus,-0.073325478009281,-0.50541437524959,0.185455083224052
5434.0,26223,0.0,332.0,206.0,124.0,1263.0,9058.0,544.0,0.0,4.0,0.0,26872,12895,11.2,16.0,45540,2013,Alavus,0.109455996890125,-0.583543882022052,0.0280200855144135
4930.0,26050,0.0,351.0,207.0,124.0,1232.0,8882.0,515.0,0.0,4.0,0.0,26807,13896,11.1,14.7,45989,2014,Alavus,-0.0818381304667338,-0.525967748180897,0.0683365773681749
4978.0,25797,0.0,333.0,190.0,88.0,1224.0,8840.0,553.0,0.0,4.0,0.0,26797,14255,11.1,14.2,46030,2015,Alavus,0.188486100053749,-0.334030107130189,0.101650898426573
5139.0,25733,0.0,351.0,195.0,102.0,1187.0,7988.0,569.0,0.0,4.0,0.0,26968,13946,11.0,15.3,46053,2016,Alavus,-0.111483823534224,-0.582306204125508,0.206088831372758
4737.0,25782,0.0,345.0,171.0,69.0,1132.0,7638.0,561.0,0.0,4.0,0.0,26465,14086,10.8,16.5,45288,2017,Alavus,0.199833071894895,-0.334890398508454,0.454173769937012
4458.0,26487,479.5384615,153.3333333,96.84615385,30.53846154,1066.615385,3795.846154,322.0,739.0,4.0,327.6153846,25759,13305,10.6,16.8,43522,2018,Alavus,-0.0671182122039212,-0.82687138201396,0.373736308608602
5305.0,26748,490.2307692,128.8333333,102.9230769,42.46153846,1038.384615,3811.384615,300.2307692,723.1538462,4.0,312.0769231,24888,13130,10.5,16.7,43323,2019,Alavus,0.456602081338417,-1.87198816564527,0.43590903419443
4966.0,26280,501.4615385,121.4545455,105.1538462,44.07692308,1026.538462,3675.384615,348.2307692,794.9230769,4.0,312.0,24226,13785,10.4,15.0,42976,2020,Alavus,0.618349690436827,-1.73173852454617,0.380027398316454
4427.0,26603,478.5384615,111.2307692,105.3076923,35.76923077,1012.538462,3675.461538,301.6153846,788.1538462,4.0,311.7692308,23460,13068,10.3,16.0,40956,2021,Alavus,1.06005592212257,-1.69168530972402,0.649687580292303
3141.0,26017,455.5384615,124.8461538,124.0,36.46153846,997.0769231,3758.769231,246.6153846,760.5384615,4.0,295.3846154,21409,11525,10.2,16.5,36075,2022,Alavus,1.18337643118876,-1.75752391042161,0.0964143603299136
2941.0,28838,0.0,224.0,108.0,72.0,872.0,6455.0,301.0,0.0,4.0,0.0,31958,11967,15.3,16.3,47235,2008,Asikkala,-0.0663922654245916,0.19240203764639,0.744442571504761
3126.0,27795,0.0,197.0,98.0,74.0,857.0,6508.0,332.0,0.0,4.0,0.0,32508,12055,15.2,16.0,48066,2009,Asikkala,-0.23187417766993,-0.16125565955099,0.112584780109601
3065.0,28065,0.0,222.0,80.0,48.0,857.0,6565.0,335.0,0.0,4.0,0.0,32298,12298,15.2,14.9,48020,2010,Asikkala,-0.396715733374998,-0.051957205240399,0.0573965106946681
3238.0,28380,0.0,201.0,93.0,62.0,826.0,6571.0,316.0,0.0,4.0,0.0,32921,12435,15.1,15.1,48959,2011,Asikkala,-0.0550221364341293,-0.145367375348538,0.279186626695538
3213.0,28167,0.0,219.0,102.0,59.0,825.0,6487.0,311.0,0.0,4.0,0.0,32240,11357,15.0,14.4,47174,2012,Asikkala,-0.106972046842616,0.11135166069214,0.276985267495112
3122.0,27330,0.0,212.0,110.0,67.0,801.0,6452.0,339.0,0.0,4.0,0.0,31395,11322,14.9,14.4,46184,2013,Asikkala,-0.157001712874967,-0.32867270997611,0.0120334927980507
3383.0,26586,0.0,204.0,97.0,62.0,791.0,6485.0,391.0,0.0,4.0,0.0,31381,12149,14.9,14.3,47260,2014,Asikkala,-0.270700567490352,0.389031571543865,0.242367333044448
3801.0,26327,0.0,209.0,91.0,57.0,763.0,6467.0,381.0,0.0,4.0,0.0,31023,13095,14.7,13.5,47920,2015,Asikkala,-0.0417391838411425,0.238336888665244,-0.0179817458995888
3867.0,26554,0.0,193.0,85.0,42.0,762.0,5795.0,345.0,0.0,4.0,0.0,30950,13348,14.8,13.7,48165,2016,Asikkala,-0.11505353783991,0.293658899608668,0.265897535975044
4100.0,26261,0.0,192.0,82.0,37.0,761.0,5723.0,357.0,0.0,4.0,0.0,30885,13335,14.6,13.5,48320,2017,Asikkala,0.138639560461409,0.0759540651240991,0.267869680970294
4104.0,26382,297.0,109.0833333,48.92307692,12.15384615,699.8461538,2900.153846,215.6923077,375.4615385,4.0,232.0769231,29790,12725,14.5,13.3,46618,2018,Asikkala,0.501556339526333,1.3776643406088,0.22967578246037
3577.0,27096,308.8461538,86.84615385,49.53846154,12.30769231,683.1538462,2890.846154,200.7692308,362.3846154,4.0,210.0769231,28835,13746,14.3,12.9,46158,2019,Asikkala,0.910536072254766,0.97492326963457,0.0684778957302375
3493.0,26463,299.7692308,69.75,52.92307692,15.23076923,682.6153846,2870.846154,247.6923077,413.2307692,4.0,232.6153846,28222,14101,14.3,12.2,45816,2020,Asikkala,1.2755497087682,-1.05894298084178,-0.06809656472052
3546.0,27433,303.6153846,69.83333333,62.46153846,12.69230769,681.5384615,2916.923077,229.6923077,404.9230769,4.0,237.3846154,28043,14137,14.3,13.2,45726,2021,Asikkala,1.61468940475182,-0.607710329569275,-0.0869282573852377
3428.0,26783,295.6153846,84.69230769,70.46153846,15.46153846,674.0769231,2935.538462,185.0,392.8461538,4.0,221.6923077,26138,12730,14.2,13.6,42295,2022,Asikkala,1.77677636822197,-0.468775270379982,-0.276094436237645
6028.0,43230,0.0,102.0,63.0,44.0,610.0,3373.0,115.0,0.0,5.0,0.0,57882,16924,22.4,9.9,81168,2008,Askola,-0.244569973025778,-0.232946267829281,-0.88235745526167
6053.0,43042,0.0,120.0,41.0,28.0,634.0,3396.0,144.0,0.0,5.0,0.0,60418,18121,22.7,10.1,84926,2009,Askola,-0.488678542572878,-0.474612706975501,-0.507630211881694
5552.0,43644,0.0,123.0,59.0,47.0,614.0,3533.0,139.0,0.0,5.0,0.0,61860,19472,22.9,9.3,87197,2010,Askola,-0.124090982489228,-0.462306939617313,-0.935202997527357
5105.0,43023,0.0,124.0,66.0,44.0,606.0,3580.0,156.0,0.0,5.0,0.0,64043,19807,23.1,9.7,89322,2011,Askola,-0.107787280309496,-0.219644182905193,-0.972490927664656
5669.0,43144,0.0,125.0,62.0,36.0,620.0,3592.0,159.0,0.0,5.0,0.0,64855,20174,23.5,9.6,91033,2012,Askola,-0.2960549328016,-0.945764946539194,-1.13314940016704
5031.0,42844,0.0,138.0,59.0,31.0,628.0,3638.0,153.0,0.0,5.0,0.0,64572,20607,23.5,8.8,90597,2013,Askola,-0.399824566264223,-0.960794070465757,-1.03248122220794
5541.0,42725,0.0,146.0,71.0,38.0,620.0,3680.0,211.0,0.0,5.0,0.0,63728,19056,23.8,8.0,88734,2014,Askola,-0.449769088862856,-0.68237961188927,-1.04608075750015
5385.0,43183,0.0,129.0,75.0,36.0,618.0,3661.0,243.0,0.0,5.0,0.0,64231,20526,24.0,8.9,90142,2015,Askola,-0.0662557074484192,-0.568864077406658,-1.34423660145279
6042.0,41954,0.0,116.0,62.0,26.0,606.0,3292.0,228.0,0.0,5.0,0.0,61906,19693,23.8,8.5,87641,2016,Askola,-0.787011472830035,-0.597757826891155,-1.2727882651222
5950.0,42741,0.0,133.0,61.0,20.0,591.0,3263.0,226.0,0.0,5.0,0.0,61995,20718,23.5,8.3,88663,2017,Askola,-0.270120523051673,-0.67993510884869,-1.11515223438399
7173.0,42883,77.69230769,68.36363636,32.69230769,7.25,562.6923077,1527.769231,118.4615385,159.5384615,5.0,77.0,59439,19667,23.3,8.9,86279,2018,Askola,0.229070086286835,-0.366991223159201,-0.99343003408381
7165.0,44015,76.07692308,60.83333333,31.61538462,6.0,547.3846154,1508.076923,123.3846154,163.3076923,5.0,79.92307692,57694,19120,23.3,9.2,83979,2019,Askola,0.467861105181816,-0.404348595327858,-1.42225986397429
8096.0,42784,77.46153846,54.6,39.15384615,6.125,534.3846154,1445.538462,152.9230769,170.0,5.0,84.07692308,56261,20265,23.0,8.2,84622,2020,Askola,0.546755393267515,-0.517685022357661,-1.39381560203448
8924.0,44405,72.46153846,48.09090909,36.23076923,6.625,505.3076923,1462.923077,150.2307692,156.6923077,5.0,85.84615385,55239,18902,22.8,7.9,83064,2021,Askola,0.711996390060998,-0.412212708609409,-1.15951665394162
7954.0,42462,65.0,60.83333333,43.38461538,7.923076923,495.6153846,1497.846154,127.9230769,163.1538462,5.0,78.07692308,51214,15833,22.4,8.7,75001,2022,Askola,0.968235496519642,-1.01201287876899,-1.4330654969916
4121.0,39132,0.0,167.0,78.0,45.0,520.0,3081.0,78.0,0.0,6.0,0.0,48333,19316,40.5,11.2,72148,2008,Aura,0.548497371026759,0.0634716878334898,-0.603861852173429
3244.0,38664,0.0,177.0,60.0,35.0,507.0,3108.0,104.0,0.0,6.0,0.0,51727,20488,40.4,10.4,75865,2009,Aura,0.32445472683479,0.0847148357411283,-0.372864169202981
3518.0,38680,0.0,164.0,61.0,31.0,513.0,3110.0,89.0,0.0,6.0,0.0,53664,19888,41.2,10.0,77430,2010,Aura,0.130831076014068,-0.11867612886534,-0.488045289005037
3374.0,38980,0.0,158.0,73.0,38.0,524.0,3172.0,107.0,0.0,6.0,0.0,55420,19749,41.8,10.4,78959,2011,Aura,0.330274428784604,0.117393180972197,-0.464440402185226
3014.0,39100,0.0,165.0,84.0,43.0,527.0,3144.0,109.0,0.0,6.0,0.0,54884,19483,41.8,9.1,77734,2012,Aura,0.412040746056713,-0.623104954119232,-0.275630778740331
3657.0,37746,0.0,168.0,72.0,40.0,530.0,3161.0,132.0,0.0,6.0,0.0,54486,18028,41.7,9.7,76529,2013,Aura,0.257617513725956,-0.52475509632989,-0.336818142673331
3677.0,36951,0.0,162.0,73.0,47.0,515.0,3120.0,170.0,0.0,6.0,0.0,53160,17750,41.9,9.2,74970,2014,Aura,0.572838795608093,-0.298421663963328,-0.582702331057367
3665.0,37708,0.0,169.0,75.0,36.0,520.0,3152.0,174.0,0.0,6.0,0.0,53484,17716,42.0,9.2,74866,2015,Aura,0.138186734402216,-0.284397529181865,-0.528614434711266
3773.0,38087,0.0,180.0,69.0,32.0,512.0,2856.0,179.0,0.0,6.0,0.0,51684,17631,41.9,8.8,73089,2016,Aura,0.101550092672885,-0.621759056190604,-0.587025201514692
3523.0,38100,0.0,187.0,73.0,37.0,492.0,2834.0,170.0,0.0,6.0,0.0,50921,17486,42.0,8.8,71931,2017,Aura,0.093751956934163,-0.925922342546949,-0.692224192917431
3650.0,38952,90.38461538,108.3333333,40.84615385,9.461538462,469.6923077,1336.307692,99.38461538,172.6153846,6.0,97.53846154,50520,16352,41.9,9.1,70523,2018,Aura,0.568534355086472,-0.300531423959427,-0.740931118283669
3517.0,39800,93.61538462,100.75,40.46153846,10.46153846,463.7692308,1344.615385,91.38461538,164.4615385,6.0,90.92307692,50613,17306,41.5,8.7,71436,2019,Aura,0.869657414938984,-0.776358552739872,-0.598141241591198
3561.0,39697,103.6153846,78.36363636,48.15384615,10.33333333,464.3076923,1320.846154,96.69230769,186.4615385,6.0,85.84615385,51225,16971,41.7,8.3,71757,2020,Aura,1.35012075179371,-0.487557930251966,-0.773965659750151
3316.0,39753,98.84615385,72.66666667,55.69230769,13.30769231,466.5384615,1364.153846,95.30769231,197.6153846,6.0,78.07692308,49217,16326,41.6,8.6,68859,2021,Aura,1.62344759790072,-1.00345211393066,-0.627137803709153
2951.0,38613,98.38461538,93.91666667,53.69230769,13.69230769,455.9230769,1418.692308,68.30769231,193.6153846,6.0,82.92307692,45592,14622,41.7,9.3,63164,2022,Aura,1.67610687627289,-0.961840223344675,-0.674130353303692
5379.0,20952,0.0,46.0,21.0,11.0,144.0,1260.0,102.0,0.0,5.0,0.0,17645,10526,5.4,19.6,33909,2008,Enonkoski,-1.10893791618004,0.036394562789212,0.960297070350323
