municipality,year,depression,involuntary_care,psychotic,Bankruptcies instigated, number of enterprises,bankruptcy_ratio,type_of_debt_x,mean_debt_euro_buisiness,income,Life_support,Pension benefits_excl_guaranteed_pension,Pension_support,Pensioner_housing_allowance,Special_care_allowance,School_travel_allowance,Rehabilitation,Rehabilitation_allowance,Child_benefit,Child_care_allowances,Special_support_for_immigrants,Student_loan_repayment,Student_loan_interest_subsidy,Student_loan_reduction,Study_support,Family_leave_allowance,Basic_income_support,Medical_benefits,Sickness_benefits,Military_allowance,Guaranteed_pension,Unemployment_insurance,Disability_benefits,Parental_allowance,Annual_holiday_expense_allowance,Temporary_power_support,General_housing_allowance,Maternity_allowance,type_of_debt_y,mean_debt_euro_housing,type_of_debt_x,mean_debt_euro_other,pop_rate,poverty_rate,type_of_debt_y,mean_debt_euro_study,type_of_debt,mean_debt_euro_total
Akaa,2008,-0.103547640255718,0.390591288258798,-0.344027093251435,9,36,0.25,Loans charged on business activities or a source of income,1962,34802,0,0,0,0,11,374,264,199,1743,412,0,0,10,0,459,0,0,11054,1026,20,0,601,0,490,87,0,0,169,Housing loans,39610,Other debts,9701,57.4,13.8,Study loans,462,Debts total,51734
Akaa,2009,0.0843428144303203,0.484997204275607,-0.312392997898391,9,18,0.5,Loans charged on business activities or a source of income,1923,33425,0,0,0,0,13,373,249,174,1761,416,0,0,9,4,504,0,0,11077,946,29,0,696,0,444,84,0,0,165,Housing loans,41453,Other debts,9932,57.5,13.3,Study loans,468,Debts total,53777
Akaa,2010,0.0375499269594505,0.165946574908057,-0.593817383631111,6,17,0.352941176470588,Loans charged on business activities or a source of income,2105,33651,0,0,0,0,9,385,235,174,1766,429,0,0,4,8,455,0,0,11206,934,45,0,696,0,469,82,0,0,180,Housing loans,42979,Other debts,9540,58,12.9,Study loans,452,Debts total,55076
Akaa,2011,0.0716312108250665,-0.127284626972466,-0.429873206305698,7,20,0.35,Loans charged on business activities or a source of income,1904,34486,0,0,0,0,11,433,297,202,2049,500,0,0,4,5,531,0,0,13345,1116,32,0,841,0,535,81,0,0,179,Housing loans,43804,Other debts,9861,58.3,12.8,Study loans,444,Debts total,56014
Akaa,2012,0.216819580445411,0.393427797940094,-0.326739287659577,8,26,0.307692307692308,Loans charged on business activities or a source of income,2059,34664,0,0,0,0,16,420,308,206,2047,491,0,0,4,8,504,0,0,13357,1173,29,0,841,0,566,108,0,0,206,Housing loans,43742,Other debts,8761,58.4,11.7,Study loans,423,Debts total,54985
Akaa,2013,0.391620720728622,0.101072328866612,-0.0548755971027416,8,26,0.307692307692308,Loans charged on business activities or a source of income,2086,34248,0,0,0,0,23,477,329,214,2044,500,0,0,4,8,497,0,0,13228,1181,24,0,893,0,545,131,0,0,185,Housing loans,43430,Other debts,8742,58.4,11.1,Study loans,421,Debts total,54679
Akaa,2014,0.4918044064142,0.24068171005801,-0.212798160077394,9,101,0.0891089108910891,Loans charged on business activities or a source of income,1985,33724,0,0,0,0,17,461,355,214,2023,486,0,0,4,11,480,0,0,13300,1144,19,0,937,0,484,96,0,0,157,Housing loans,42750,Other debts,9106,58.2,10.9,Study loans,405,Debts total,54247
Akaa,2015,0.621533281665191,-0.09188308394741,-0.346950780906084,13,74,0.175675675675676,Loans charged on business activities or a source of income,2047,33822,0,0,0,0,28,485,379,222,1984,447,0,0,4,9,438,0,0,13301,1060,15,0,951,0,482,84,0,0,166,Housing loans,42682,Other debts,10043,58.1,11,Study loans,.,Debts total,54771
Akaa,2016,0.521166822925302,-0.418958548038925,-0.46624919843707,5,22,0.227272727272727,Loans charged on business activities or a source of income,2177,33791,0,0,0,0,22,460,359,192,1962,442,0,0,4,9,444,0,0,12110,1054,22,0,964,0,470,100,0,0,138,Housing loans,42286,Other debts,10881,57.7,11.7,Study loans,.,Debts total,55344
Akaa,2017,0.959516434819766,0.887385268940332,-0.615241889810844,5,12,0.416666666666667,Loans charged on business activities or a source of income,2352,34058,0,0,0,0,21,463,374,187,1952,396,0,0,4,12,397,22,0,11724,1017,17,0,971,0,428,86,0,0,113,Housing loans,41083,Other debts,11481,57.2,11.5,Study loans,.,Debts total,54917
Akaa,2018,1.38107055539082,1.12376104366338,-0.323429799738706,9,38,0.236842105263158,Loans charged on business activities or a source of income,2678,35138,230.4615385,1927.076923,10.83333333,519.6153846,7.111111111,210.8461538,200.3846154,89.69230769,1853.769231,217.5384615,0,7.333333333,4,4,228.5384615,11,370.7692308,5765.615385,290.8461538,6.230769231,233.9230769,573.5384615,800.6923077,119.5384615,11.30769231,0,553.3846154,15.54545455,Housing loans,39932,Other debts,11284,56.6,11.9,Study loans,.,Debts total,53894
Akaa,2019,1.82247315807545,1.11826817671796,-0.398077118193997,8,34,0.235294117647059,Loans charged on business activities or a source of income,2925,35718,211.6153846,1886.307692,9.461538462,518.0769231,5.25,206.4615385,207.8461538,93.69230769,1807.923077,186.1538462,0,10.5,4,4,244,10.625,355.4615385,5729.384615,274.1538462,9.384615385,235.2307692,538.4615385,781.5384615,126.8461538,12.5,0,531.9230769,19.23076923,Housing loans,38438,Other debts,11336,56.2,12.7,Study loans,.,Debts total,52699
Akaa,2020,2.03546902496102,0.99937063570497,-0.257606704811117,3,3,1,Loans charged on business activities or a source of income,2661,34931,229.3076923,1999.230769,13.53846154,519.6153846,7.333333333,186.9230769,227.4615385,104.3076923,1778.461538,180.2307692,0,12.33333333,4,4,258,10.88888889,403.0769231,5535.153846,260.8461538,11.15384615,291.1538462,612.8461538,827.8461538,140.6153846,13.2,0,552.6923077,19.23076923,Housing loans,38175,Other debts,12271,55.9,11.6,Study loans,.,Debts total,53107
Akaa,2021,2.41012865780475,1.18799514551917,-0.45089413320678,5,37,0.135135135135135,Loans charged on business activities or a source of income,2800,35771,220.6923077,1970.461538,9.923076923,535.5384615,12,225.6666667,261.6153846,126.3846154,1753.230769,169.3846154,0,8,4,4,249.8461538,12.25,370.6153846,5651.769231,283.9230769,12.53846154,299.2307692,591.7692308,824.3846154,151.0769231,13.83333333,0,549.7692308,19.23076923,Housing loans,37504,Other debts,12192,56.2,12.3,Study loans,.,Debts total,52496
Akaa,2022,2.87170814101042,0.971227267819872,-0.420199850125323,7,13,0.538461538461538,Loans charged on business activities or a source of income,2724,35469,216.5384615,1940.153846,4.888888889,547.4615385,10.5,266.6923077,274.6923077,133.8461538,1723,178.9230769,0,13,4,4,233.1538462,11.25,342.1538462,5885,396.7692308,13.76923077,310,504.5384615,844.2307692,130,13.46153846,0,528.3846154,17.58333333,Housing loans,35697,Other debts,11718,56.2,11.7,Study loans,.,Debts total,50140
Alavieska,2008,0.131783803130624,-0.468960647158171,0.558206923130583,1,2,0.5,Loans charged on business activities or a source of income,5610,25990,97.25,0,0,0,10,130,54,37,317,79,0,6,4,5,146,4,104.875,1882,173,4,299.25,84,0,104,14,4,0,40,Housing loans,23659,Other debts,15822,11,20.7,Study loans,444,Debts total,45534
Alavieska,2009,0.0810768283472333,-0.193731818232508,0.954965538566617,1,57,0.0175438596491228,Loans charged on business activities or a source of income,6988,25808,0,0,0,0,6,130,49,34,309,82,0,6,4,5,144,4,104.875,1890,162,7,299.25,111,0,91,14,4,0,38,Housing loans,24201,Other debts,15921,11,19.1,Study loans,408,Debts total,47519
Alavieska,2010,-0.194318508156515,-0.66684592268132,0.730621041631673,2,13,0.153846153846154,Loans charged on business activities or a source of income,6555,26600,0,0,0,0,6,140,35,21,311,92,0,6,4,5,150,4,104.875,1921,149,7,299.25,122,0,106,14,4,0,34,Housing loans,25131,Other debts,17455,11,18.8,Study loans,414,Debts total,49555
Alavieska,2011,-0.0341526337959169,-0.726757137703594,0.942241222676551,1,4,0.25,Loans charged on business activities or a source of income,5983,27805,0,0,0,0,5,149,42,26,304,79,0,6,4,5,146,4,104.875,1922,153,4,0,112,0,88,9,4,0,28,Housing loans,26982,Other debts,18220,10.9,19.1,Study loans,434,Debts total,51619
Alavieska,2012,0.357740458424418,-0.338597851838201,0.583440319921547,3,3,1,Loans charged on business activities or a source of income,6187,27963,0,0,0,0,8,147,52,26,296,83,0,6,4,5,144,4,104.875,1948,174,4,0,122,0,94,13,4,0,38,Housing loans,28376,Other debts,16935,11,18.1,Study loans,447,Debts total,51945
Alavieska,2013,0.253581513371926,-0.179014121976705,0.569410637831303,3,7,0.428571428571429,Loans charged on business activities or a source of income,6922,27415,0,0,0,0,7,148,51,24,294,70,0,6,4,5,140,4,104.875,1928,144,4,0,128,0,94,9,4,0,31,Housing loans,27714,Other debts,16802,10.9,17.9,Study loans,434,Debts total,51872
Alavieska,2014,-0.151104326360044,-0.444787666083886,0.340925858520413,4,7,0.571428571428571,Loans charged on business activities or a source of income,7146,27042,0,0,0,0,11,144,53,20,287,69,0,6,4,5,137,4,104.875,1819,140,4,0,125,0,94,10,4,0,40,Housing loans,27025,Other debts,16822,10.7,16,Study loans,429,Debts total,51422
Alavieska,2015,-0.336911946282914,-0.681799342691181,0.310798904221743,1,1,1,Loans charged on business activities or a source of income,6875,26776,0,0,0,0,7,123,52,25,294,73,0,6,4,5,126,4,104.875,1850,151,4,0,123,0,108,16,4,0,33,Housing loans,26271,Other debts,17938,10.7,17.6,Study loans,.,Debts total,51083
Alavieska,2016,-0.160136231997584,-0.699406185489329,0.72434306876737,0,0,0,Loans charged on business activities or a source of income,7096,27329,0,0,0,0,6,115,54,26,286,77,0,6,4,5,118,4,104.875,1649,154,4,0,116,0,73,11,4,0,21,Housing loans,26975,Other debts,16157,10.5,17.9,Study loans,.,Debts total,50229
Alavieska,2017,-0.501331163731808,-0.165444945576312,0.49198022131264,1,8,0.125,Loans charged on business activities or a source of income,5921,28562,0,0,0,0,10,133,51,14,277,58,0,6,4,5,104,4,0,1577,126,4,0,110,0,61,8,4,0,23,Housing loans,26926,Other debts,18483,10.4,16.4,Study loans,.,Debts total,51330
Alavieska,2018,-0.238205414017639,0.344823809331389,0.362571214174793,2,9,0.222222222222222,Loans charged on business activities or a source of income,5299,29495,23.92307692,441.6923077,0,105.3076923,10,54.33333333,23.38461538,6.222222222,261.3846154,28,0,4,4,5,55.76923077,5,21.61538462,777.4615385,30.92307692,4,70.84615385,59.30769231,195.0769231,30.69230769,7,4,60.30769231,10.25,Housing loans,26113,Other debts,15999,10.2,18,Study loans,.,Debts total,47412
Alavieska,2019,0.473444329973945,-0.254615383679531,0.569563475415316,0,0,0,Loans charged on business activities or a source of income,6478,29466,18.92307692,431,0,100.7692308,10,56.41666667,24.61538462,6,248.3846154,30.84615385,0,4,4,5,50.53846154,9,22.61538462,771.7692308,39.76923077,4,68.61538462,51.30769231,191.8461538,25.69230769,11,4,56.38461538,21,Housing loans,26312,Other debts,15863,10,16.8,Study loans,.,Debts total,48653
Alavieska,2020,0.92696571180621,-0.928439691153873,0.761210264746725,1,4,0.25,Loans charged on business activities or a source of income,5903,30104,22.61538462,453.3846154,0,91.76923077,10,48.27272727,27.61538462,5.777777778,249.0769231,30.30769231,0,4,4,5,51.38461538,5,26.69230769,761.3846154,31.53846154,4,76.15384615,57.46153846,200.3846154,22.07692308,6,4,55.84615385,13,Housing loans,26799,Other debts,15338,10,15.9,Study loans,.,Debts total,48039
Alavieska,2021,1.32827349654086,-0.856084406410056,0.789916833472886,2,6,0.333333333333333,Loans charged on business activities or a source of income,5185,30992,23.61538462,438.9230769,0,87,10,41.83333333,34.92307692,7.454545455,241.7692308,26.15384615,0,4,4,5,43.38461538,8,19.92307692,769.6923077,41.38461538,4,77.07692308,54.30769231,200.4615385,23.92307692,12,4,53.38461538,15,Housing loans,25623,Other debts,13817,9.9,16.7,Study loans,.,Debts total,44625
Alavieska,2022,1.8504290404258,-0.934897494949406,0.566185657417823,0,0,0,Loans charged on business activities or a source of income,3972,30261,21.61538462,422.6153846,0,86.76923077,4,51.09090909,42.69230769,11.15384615,240.3846154,24.46153846,0,4,4,5,37.76923077,8,21.15384615,780.1538462,60.92307692,4,70.46153846,52.15384615,188.9230769,20,7,4,49.07692308,11,Housing loans,23971,Other debts,11579,9.7,16.9,Study loans,.,Debts total,39521
Alavus,2008,-0.543554799583734,0.0909301056537304,0.253385735340099,5,24,0.208333333333333,Loans charged on business activities or a source of income,5096,26642,21.875,0,0,0,16,255,165,131,970,258,0,4,8,5,536,11,29.625,7048,558,17,60.5,336,0,251,35,4,0,100,Housing loans,22361,Other debts,12175,11.7,18.9,Study loans,337,Debts total,39969
