sourceCode;sourceName;targetCode;targetName;distributionSourceToTarget;distributionTargetToSource;
"'020'";"Akaa";"'08'";"Pirkanmaa wellbeing services county";;;
"'005'";"Alajärvi";"'16'";"South Ostrobothnia wellbeing services county";;;
"'009'";"Alavieska";"'19'";"North Ostrobothnia wellbeing services county";;;
"'010'";"Alavus";"'16'";"South Ostrobothnia wellbeing services county";;;
"'016'";"Asikkala";"'09'";"Päijät-Häme wellbeing services county";;;
"'018'";"Askola";"'01'";"East Uusimaa wellbeing services county";;;
"'019'";"Aura";"'05'";"Southwest Finland wellbeing services county";;;
"'035'";"Brändö";"'91'";"Åland";;;
"'043'";"Eckerö";"'91'";"Åland";;;
"'046'";"Enonkoski";"'12'";"South Savo wellbeing services county";;;
"'047'";"Enontekiö";"'21'";"Lapland wellbeing services county";;;
"'049'";"Espoo";"'03'";"West Uusimaa wellbeing services county";;;
"'050'";"Eura";"'06'";"Satakunta wellbeing services county";;;
"'051'";"Eurajoki";"'06'";"Satakunta wellbeing services county";;;
"'052'";"Evijärvi";"'16'";"South Ostrobothnia wellbeing services county";;;
"'060'";"Finström";"'91'";"Åland";;;
"'061'";"Forssa";"'07'";"Kanta-Häme wellbeing services county";;;
"'062'";"Föglö";"'91'";"Åland";;;
"'065'";"Geta";"'91'";"Åland";;;
"'069'";"Haapajärvi";"'19'";"North Ostrobothnia wellbeing services county";;;
"'071'";"Haapavesi";"'19'";"North Ostrobothnia wellbeing services county";;;
"'072'";"Hailuoto";"'19'";"North Ostrobothnia wellbeing services county";;;
"'074'";"Halsua";"'18'";"Central Ostrobothnia wellbeing services county";;;
"'075'";"Hamina";"'10'";"Kymenlaakso wellbeing services county";;;
"'076'";"Hammarland";"'91'";"Åland";;;
"'077'";"Hankasalmi";"'15'";"Central Finland wellbeing services county";;;
"'078'";"Hanko";"'03'";"West Uusimaa wellbeing services county";;;
"'079'";"Harjavalta";"'06'";"Satakunta wellbeing services county";;;
"'081'";"Hartola";"'09'";"Päijät-Häme wellbeing services county";;;
"'082'";"Hattula";"'07'";"Kanta-Häme wellbeing services county";;;
"'086'";"Hausjärvi";"'07'";"Kanta-Häme wellbeing services county";;;
"'111'";"Heinola";"'09'";"Päijät-Häme wellbeing services county";;;
"'090'";"Heinävesi";"'14'";"North Karelia wellbeing services county";;;
"'091'";"Helsinki";"'90'";"City of Helsinki";;;
"'097'";"Hirvensalmi";"'12'";"South Savo wellbeing services county";;;
"'098'";"Hollola";"'09'";"Päijät-Häme wellbeing services county";;;
"'102'";"Huittinen";"'06'";"Satakunta wellbeing services county";;;
"'103'";"Humppila";"'07'";"Kanta-Häme wellbeing services county";;;
"'105'";"Hyrynsalmi";"'20'";"Kainuu wellbeing services county";;;
"'106'";"Hyvinkää";"'02'";"Central Uusimaa wellbeing services county";;;
"'108'";"Hämeenkyrö";"'08'";"Pirkanmaa wellbeing services county";;;
"'109'";"Hämeenlinna";"'07'";"Kanta-Häme wellbeing services county";;;
"'139'";"Ii";"'19'";"North Ostrobothnia wellbeing services county";;;
"'140'";"Iisalmi";"'13'";"North Savo wellbeing services county";;;
"'142'";"Iitti";"'09'";"Päijät-Häme wellbeing services county";;;
"'143'";"Ikaalinen";"'08'";"Pirkanmaa wellbeing services county";;;
"'145'";"Ilmajoki";"'16'";"South Ostrobothnia wellbeing services county";;;
"'146'";"Ilomantsi";"'14'";"North Karelia wellbeing services county";;;
"'153'";"Imatra";"'11'";"South Karelia wellbeing services county";;;
"'148'";"Inari";"'21'";"Lapland wellbeing services county";;;
"'149'";"Ingå";"'03'";"West Uusimaa wellbeing services county";;;
"'151'";"Isojoki";"'16'";"South Ostrobothnia wellbeing services county";;;
"'152'";"Isokyrö";"'16'";"South Ostrobothnia wellbeing services county";;;
"'165'";"Janakkala";"'07'";"Kanta-Häme wellbeing services county";;;
"'167'";"Joensuu";"'14'";"North Karelia wellbeing services county";;;
"'169'";"Jokioinen";"'07'";"Kanta-Häme wellbeing services county";;;
"'170'";"Jomala";"'91'";"Åland";;;
"'171'";"Joroinen";"'13'";"North Savo wellbeing services county";;;
"'172'";"Joutsa";"'15'";"Central Finland wellbeing services county";;;
"'176'";"Juuka";"'14'";"North Karelia wellbeing services county";;;
"'177'";"Juupajoki";"'08'";"Pirkanmaa wellbeing services county";;;
"'178'";"Juva";"'12'";"South Savo wellbeing services county";;;
"'179'";"Jyväskylä";"'15'";"Central Finland wellbeing services county";;;
"'181'";"Jämijärvi";"'06'";"Satakunta wellbeing services county";;;
"'182'";"Jämsä";"'15'";"Central Finland wellbeing services county";;;
"'186'";"Järvenpää";"'02'";"Central Uusimaa wellbeing services county";;;
"'202'";"Kaarina";"'05'";"Southwest Finland wellbeing services county";;;
"'204'";"Kaavi";"'13'";"North Savo wellbeing services county";;;
"'205'";"Kajaani";"'20'";"Kainuu wellbeing services county";;;
"'208'";"Kalajoki";"'19'";"North Ostrobothnia wellbeing services county";;;
"'211'";"Kangasala";"'08'";"Pirkanmaa wellbeing services county";;;
"'213'";"Kangasniemi";"'12'";"South Savo wellbeing services county";;;
"'214'";"Kankaanpää";"'06'";"Satakunta wellbeing services county";;;
"'216'";"Kannonkoski";"'15'";"Central Finland wellbeing services county";;;
"'217'";"Kannus";"'18'";"Central Ostrobothnia wellbeing services county";;;
"'218'";"Karijoki";"'16'";"South Ostrobothnia wellbeing services county";;;
"'224'";"Karkkila";"'03'";"West Uusimaa wellbeing services county";;;
"'226'";"Karstula";"'15'";"Central Finland wellbeing services county";;;
"'230'";"Karvia";"'06'";"Satakunta wellbeing services county";;;
"'231'";"Kaskinen";"'17'";"Ostrobothnia wellbeing services county";;;
"'232'";"Kauhajoki";"'16'";"South Ostrobothnia wellbeing services county";;;
"'233'";"Kauhava";"'16'";"South Ostrobothnia wellbeing services county";;;
"'235'";"Kauniainen";"'03'";"West Uusimaa wellbeing services county";;;
"'236'";"Kaustinen";"'18'";"Central Ostrobothnia wellbeing services county";;;
"'239'";"Keitele";"'13'";"North Savo wellbeing services county";;;
"'240'";"Kemi";"'21'";"Lapland wellbeing services county";;;
"'320'";"Kemijärvi";"'21'";"Lapland wellbeing services county";;;
"'241'";"Keminmaa";"'21'";"Lapland wellbeing services county";;;
"'322'";"Kimitoön";"'05'";"Southwest Finland wellbeing services county";;;
"'244'";"Kempele";"'19'";"North Ostrobothnia wellbeing services county";;;
"'245'";"Kerava";"'04'";"Vantaa and Kerava wellbeing services county";;;
"'249'";"Keuruu";"'15'";"Central Finland wellbeing services county";;;
"'250'";"Kihniö";"'08'";"Pirkanmaa wellbeing services county";;;
"'256'";"Kinnula";"'15'";"Central Finland wellbeing services county";;;
"'257'";"Kirkkonummi";"'03'";"West Uusimaa wellbeing services county";;;
"'260'";"Kitee";"'14'";"North Karelia wellbeing services county";;;
"'261'";"Kittilä";"'21'";"Lapland wellbeing services county";;;
"'263'";"Kiuruvesi";"'13'";"North Savo wellbeing services county";;;
"'265'";"Kivijärvi";"'15'";"Central Finland wellbeing services county";;;
"'271'";"Kokemäki";"'06'";"Satakunta wellbeing services county";;;
"'272'";"Kokkola";"'18'";"Central Ostrobothnia wellbeing services county";;;
"'273'";"Kolari";"'21'";"Lapland wellbeing services county";;;
"'275'";"Konnevesi";"'15'";"Central Finland wellbeing services county";;;
"'276'";"Kontiolahti";"'14'";"North Karelia wellbeing services county";;;
"'280'";"Korsnäs";"'17'";"Ostrobothnia wellbeing services county";;;
"'284'";"Koski Tl";"'05'";"Southwest Finland wellbeing services county";;;
"'285'";"Kotka";"'10'";"Kymenlaakso wellbeing services county";;;
"'286'";"Kouvola";"'10'";"Kymenlaakso wellbeing services county";;;
"'287'";"Kristinestad";"'17'";"Ostrobothnia wellbeing services county";;;
"'288'";"Kronoby";"'17'";"Ostrobothnia wellbeing services county";;;
"'290'";"Kuhmo";"'20'";"Kainuu wellbeing services county";;;
"'291'";"Kuhmoinen";"'08'";"Pirkanmaa wellbeing services county";;;
"'295'";"Kumlinge";"'91'";"Åland";;;
"'297'";"Kuopio";"'13'";"North Savo wellbeing services county";;;
"'300'";"Kuortane";"'16'";"South Ostrobothnia wellbeing services county";;;
"'301'";"Kurikka";"'16'";"South Ostrobothnia wellbeing services county";;;
"'304'";"Kustavi";"'05'";"Southwest Finland wellbeing services county";;;
"'305'";"Kuusamo";"'19'";"North Ostrobothnia wellbeing services county";;;
"'312'";"Kyyjärvi";"'15'";"Central Finland wellbeing services county";;;
"'316'";"Kärkölä";"'09'";"Päijät-Häme wellbeing services county";;;
"'317'";"Kärsämäki";"'19'";"North Ostrobothnia wellbeing services county";;;
"'318'";"Kökar";"'91'";"Åland";;;
"'398'";"Lahti";"'09'";"Päijät-Häme wellbeing services county";;;
"'399'";"Laihia";"'17'";"Ostrobothnia wellbeing services county";;;
"'400'";"Laitila";"'05'";"Southwest Finland wellbeing services county";;;
"'407'";"Lapinjärvi";"'01'";"East Uusimaa wellbeing services county";;;
"'402'";"Lapinlahti";"'13'";"North Savo wellbeing services county";;;
"'403'";"Lappajärvi";"'16'";"South Ostrobothnia wellbeing services county";;;
"'405'";"Lappeenranta";"'11'";"South Karelia wellbeing services county";;;
"'408'";"Lapua";"'16'";"South Ostrobothnia wellbeing services county";;;
"'410'";"Laukaa";"'15'";"Central Finland wellbeing services county";;;
"'416'";"Lemi";"'11'";"South Karelia wellbeing services county";;;
"'417'";"Lemland";"'91'";"Åland";;;
"'418'";"Lempäälä";"'08'";"Pirkanmaa wellbeing services county";;;
"'420'";"Leppävirta";"'13'";"North Savo wellbeing services county";;;
"'421'";"Lestijärvi";"'18'";"Central Ostrobothnia wellbeing services county";;;
"'422'";"Lieksa";"'14'";"North Karelia wellbeing services county";;;
"'423'";"Lieto";"'05'";"Southwest Finland wellbeing services county";;;
"'425'";"Liminka";"'19'";"North Ostrobothnia wellbeing services county";;;
"'426'";"Liperi";"'14'";"North Karelia wellbeing services county";;;
"'444'";"Lohja";"'03'";"West Uusimaa wellbeing services county";;;
"'430'";"Loimaa";"'05'";"Southwest Finland wellbeing services county";;;
"'433'";"Loppi";"'07'";"Kanta-Häme wellbeing services county";;;
"'434'";"Loviisa";"'01'";"East Uusimaa wellbeing services county";;;
"'435'";"Luhanka";"'15'";"Central Finland wellbeing services county";;;
"'436'";"Lumijoki";"'19'";"North Ostrobothnia wellbeing services county";;;
"'438'";"Lumparland";"'91'";"Åland";;;
"'440'";"Larsmo";"'17'";"Ostrobothnia wellbeing services county";;;
"'441'";"Luumäki";"'11'";"South Karelia wellbeing services county";;;
"'475'";"Malax";"'17'";"Ostrobothnia wellbeing services county";;;
"'478'";"Mariehamn";"'91'";"Åland";;;
"'480'";"Marttila";"'05'";"Southwest Finland wellbeing services county";;;
"'481'";"Masku";"'05'";"Southwest Finland wellbeing services county";;;
"'483'";"Merijärvi";"'19'";"North Ostrobothnia wellbeing services county";;;
"'484'";"Merikarvia";"'06'";"Satakunta wellbeing services county";;;
"'489'";"Miehikkälä";"'10'";"Kymenlaakso wellbeing services county";;;
"'491'";"Mikkeli";"'12'";"South Savo wellbeing services county";;;
"'494'";"Muhos";"'19'";"North Ostrobothnia wellbeing services county";;;
