Municipality,Year,divorces/1000
Akaa,1991,12.2
Alajärvi,1991,2.3
Alavieska,1991,3.9
Alavus,1991,6.4
Asikkala,1991,15.2
Askola,1991,7.6
Aura,1991,5.3
Brändö,1991,25.0
Eckerö,1991,0.0
Enonkoski,1991,2.8
Enontekiö,1991,7.5
Espoo,1991,15.9
Eura,1991,8.7
Eurajoki,1991,7.8
Evijärvi,1991,1.6
Finström,1991,8.2
Forssa,1991,22.1
Föglö,1991,0.0
Geta,1991,12.2
Haapajärvi,1991,10.7
Haapavesi,1991,10.4
Hailuoto,1991,6.4
Halsua,1991,6.7
Hamina,1991,13.5
Hammarland,1991,0.0
Hankasalmi,1991,10.1
Hanko,1991,13.5
Harjavalta,1991,11.7
Hartola,1991,5.6
Hattula,1991,10.8
Hausjärvi,1991,8.3
Heinola,1991,14.8
Heinävesi,1991,8.1
Helsinki,1991,22.2
Hirvensalmi,1991,13.6
Hollola,1991,13.8
Huittinen,1991,8.1
Humppila,1991,8.5
Hyrynsalmi,1991,2.8
Hyvinkää,1991,16.6
Hämeenkyrö,1991,10.6
Hämeenlinna,1991,13.8
Ii,1991,12.6
Iisalmi,1991,14.4
Iitti,1991,8.1
Ikaalinen,1991,9.0
Ilmajoki,1991,5.2
Ilomantsi,1991,6.6
Imatra,1991,14.7
Inari,1991,15.4
Ingå,1991,9.0
Isojoki,1991,11.0
Isokyrö,1991,8.1
Janakkala,1991,10.6
Joensuu,1991,15.0
Jokioinen,1991,7.4
Jomala,1991,9.1
Joroinen,1991,6.2
Joutsa,1991,12.4
Juuka,1991,2.5
Juupajoki,1991,9.0
Juva,1991,8.8
Jyväskylä,1991,15.5
Jämijärvi,1991,9.3
Jämsä,1991,13.6
Järvenpää,1991,16.2
Kaarina,1991,13.5
Kaavi,1991,15.7
Kajaani,1991,12.2
Kalajoki,1991,5.2
Kangasala,1991,11.7
Kangasniemi,1991,9.3
Kankaanpää,1991,9.2
Kannonkoski,1991,0.0
Kannus,1991,6.4
Karijoki,1991,2.9
Karkkila,1991,10.0
Karstula,1991,7.0
Karvia,1991,3.5
Kaskinen,1991,12.7
Kauhajoki,1991,10.6
Kauhava,1991,6.3
Kauniainen,1991,13.8
Kaustinen,1991,6.0
