Municipality,Year,Admissions to involuntary care / 1 000 residents,Alcohol mortality per 100 000 inhabitants,Compulsory treatment in psychiatric inpatient care per population,"Entitled to special refunds on medicines for psychosis, as % of total population","Hospital care for mental disorders, recipients aged 0-24, combined",Mental health visits in primary health care per 1000 inhabitants,Outpatient visits in specialities of psychiatry per 1000 inhabitants,"Psychiatric inpatient care, patients per 1000 inhabitants","Psychiatric rehabilitation homes, clients on 31 Dec per population","Recipients of a disability pension due to mental and behavioural disorders aged 16-64, combined","Rehabilitative psychotherapy, recipients aged 16-64, combined","Reimbursements for depression medicines, recipients all ages, combined","Sickness allowance for mental health reasons, recipients aged 18-64, combined",Suicides per 100 000 inhabitants
Akaa,1997,0.2932266491453456,-0.6390126151922875,-0.43778465782776327,-0.9596415689078179,-0.21338773885176818,-0.865281227942921,0.01987475623242666,0.8291270986296937,-0.7912517725356435,-0.5301614478649357,-0.8332018081377827,-1.832603474543842,0.23903607500728305,0.9056139773181144
Akaa,1998,0.14176615299504713,-0.11249647574672658,-0.37330833122162416,-0.9596415689078179,0.033004794792731204,-0.865281227942921,-0.1749075649901638,0.9764522594390268,-0.7915481306768994,-0.49823705636725385,-0.7954118236107985,-1.5982653172825896,0.23903607500728305,0.653631699441451
Akaa,1999,0.14176615299504713,-0.5720014701719434,-0.26438432653587823,-0.9596415689078179,0.24826608052192192,-0.865281227942921,-0.047081666687838745,1.7621864504221345,-0.7932270323607004,-0.3705394903765264,-0.7954118236107985,-1.3938203983943025,0.23903607500728305,0.45204587714011985
Akaa,2000,0.5961476414459421,-0.8496190709705118,-0.2665292771606856,-0.9596415689078179,-0.22265638384120653,-0.865281227942921,-1.0392541154154087,0.681801937820361,-0.7930721176920419,-0.3386150988788445,-0.7954118236107985,-1.163506119221863,0.23903607500728305,0.38485060303967655
Akaa,2001,0.2932266491453456,-0.5049903251515994,-0.26486590611598093,-0.9596415689078179,-0.13165930741064227,-0.865281227942921,-1.032060450142983,1.6148612896128014,-0.7488431547130385,-0.34905895143572885,-0.7954118236107985,-1.0764867155624216,0.23903607500728305,0.8048210661674489
Akaa,2002,0.14176615299504713,-0.5815744908891353,-0.4197642496751848,-0.8113796921018712,-0.1561221181050821,-0.865281227942921,-0.9036811929735487,1.8604032242950226,-0.6148818204391866,-0.4129077344310926,-0.700936862293338,-0.8495006101182392,0.23903607500728305,0.7376257920670055
Akaa,2003,0.2932266491453456,0.1651211250518418,-0.25282090028795473,-0.6631178152959247,0.1567118167123785,-0.865281227942921,-0.9479499023423192,1.7130780634856904,-0.6639695046179059,-0.39142719549029525,-0.682041870029846,-0.8348911703751173,0.23903607500728305,0.13286832516301303
Akaa,2004,0.5961476414459421,0.1172560214658817,-0.25274696884019143,-0.6631178152959247,0.058303386555639825,-0.865281227942921,-0.919728600119728,2.0568367720407994,-0.5759176275754156,-0.455275978485659,-0.7198318545568301,-0.5355489295780427,0.23903607500728305,0.468844695665231
Akaa,2005,0.5961476414459421,0.13640206290026602,0.09285073582152686,-0.5148559384899779,0.11408317429171487,-0.865281227942921,-0.9125349348473027,1.4184277418670248,-0.6677308215345107,-0.5086809089241381,-0.700936862293338,-0.6071963673345414,0.24854531216603423,0.18326478073834584
Akaa,2006,0.4446871452956436,0.39487362226445,-0.16106036218296754,-0.5148559384899779,-0.049002230337884346,-0.865281227942921,-0.73656681510644,1.1728858071848034,-0.4076863808507091,-0.4233515869879771,-0.5686719164488933,-0.4299843753597654,-0.2449539877423257,0.26725887336390036
Akaa,2007,0.4446871452956436,1.2755915282461157,0.059131485117499036,-0.5148559384899779,-0.30438481528233247,-0.865281227942921,-0.7714284237343466,0.681801937820361,-0.23927876762269196,-0.47675651742645625,-0.5686719164488933,-0.1305948026171819,0.03550791376084541,0.14966714368812417
