kunta_nimi,vuosi,Elatustuki,Eläke-etuudet (pl. takuueläke),Eläketuki,Eläkkeensaajan asumistuki,Erityishoitoraha,Koulumatkatuki,Kuntoutus,Kuntoutusraha,Lapsilisä,Lastenhoidon tuet,Maahanmuuttajan erityistuki,Opintolainahyvitys,Opintolainan korkoavustus,Opintolainavähennys,"Opintotuki (opintoraha, asumislisä, lainatakaus)",Perhevapaakorvaus,Perustoimeentulotuki,Sairaanhoitokorvaukset,Sairauspäivärahat,Sotilasavustus,Takuueläke,Työttömyysturva,Vammaisetuudet,Vanhempainpäiväraha,Vuosilomakustannuskorvaus,Väliaikainen sähkötuki,Yleinen asumistuki,Äitiysavustus
Akaa,2008,0.0,0.0,0.0,0.0,11.0,374.0,264.0,199.0,1743.0,412.0,0.0,0.0,10.0,0.0,459.0,0.0,0.0,11054.0,1026.0,20.0,0.0,601.0,0.0,490.0,87.0,0.0,0.0,169.0
Akaa,2009,0.0,0.0,0.0,0.0,13.0,373.0,249.0,174.0,1761.0,416.0,0.0,0.0,9.0,4.0,504.0,0.0,0.0,11077.0,946.0,29.0,0.0,696.0,0.0,444.0,84.0,0.0,0.0,165.0
Akaa,2010,0.0,0.0,0.0,0.0,9.0,385.0,235.0,174.0,1766.0,429.0,0.0,0.0,4.0,8.0,455.0,0.0,0.0,11206.0,934.0,45.0,0.0,696.0,0.0,469.0,82.0,0.0,0.0,180.0
Akaa,2011,0.0,0.0,0.0,0.0,11.0,433.0,297.0,202.0,2049.0,500.0,0.0,0.0,4.0,5.0,531.0,0.0,0.0,13345.0,1116.0,32.0,0.0,841.0,0.0,535.0,81.0,0.0,0.0,179.0
Akaa,2012,0.0,0.0,0.0,0.0,16.0,420.0,308.0,206.0,2047.0,491.0,0.0,0.0,4.0,8.0,504.0,0.0,0.0,13357.0,1173.0,29.0,0.0,841.0,0.0,566.0,108.0,0.0,0.0,206.0
Akaa,2013,0.0,0.0,0.0,0.0,23.0,477.0,329.0,214.0,2044.0,500.0,0.0,0.0,4.0,8.0,497.0,0.0,0.0,13228.0,1181.0,24.0,0.0,893.0,0.0,545.0,131.0,0.0,0.0,185.0
Akaa,2014,0.0,0.0,0.0,0.0,17.0,461.0,355.0,214.0,2023.0,486.0,0.0,0.0,4.0,11.0,480.0,0.0,0.0,13300.0,1144.0,19.0,0.0,937.0,0.0,484.0,96.0,0.0,0.0,157.0
Akaa,2015,0.0,0.0,0.0,0.0,28.0,485.0,379.0,222.0,1984.0,447.0,0.0,0.0,4.0,9.0,438.0,0.0,0.0,13301.0,1060.0,15.0,0.0,951.0,0.0,482.0,84.0,0.0,0.0,166.0
Akaa,2016,0.0,0.0,0.0,0.0,22.0,460.0,359.0,192.0,1962.0,442.0,0.0,0.0,4.0,9.0,444.0,0.0,0.0,12110.0,1054.0,22.0,0.0,964.0,0.0,470.0,100.0,0.0,0.0,138.0
Akaa,2017,0.0,0.0,0.0,0.0,21.0,463.0,374.0,187.0,1952.0,396.0,0.0,0.0,4.0,12.0,397.0,22.0,0.0,11724.0,1017.0,17.0,0.0,971.0,0.0,428.0,86.0,0.0,0.0,113.0
