year,municipality,type_of_debt,mean_debt_euro
2002,Espoo,Housing loans,30294
2002,Helsinki,Housing loans,17091
2002,Hyvinkää,Housing loans,22056
2002,Järvenpää,Housing loans,29029
2002,Karkkila,Housing loans,18917
2002,Kauniainen,Housing loans,39456
2002,Kerava,Housing loans,23103
2002,Kirkkonummi,Housing loans,36882
2002,Lohja,Housing loans,22641
2002,Mäntsälä,Housing loans,28250
2002,Nurmijärvi,Housing loans,37182
2002,Pornainen,Housing loans,38592
2002,Sipoo,Housing loans,31601
2002,Siuntio,Housing loans,38504
2002,Tuusula,Housing loans,35846
2002,Vantaa,Housing loans,22866
2002,Vihti,Housing loans,33399
2002,Lapinjärvi,Housing loans,11481
2002,Loviisa,Housing loans,14916
2002,Askola,Housing loans,26305
2002,Myrskylä,Housing loans,11735
2002,Porvoo,Housing loans,25217
2002,Pukkila,Housing loans,18358
2002,Hanko,Housing loans,17855
2002,Inkoo,Housing loans,27861
2002,Raasepori,Housing loans,18947
2002,Aura,Housing loans,25117
2002,Koski Tl,Housing loans,11945
2002,Loimaa,Housing loans,12934
2002,Marttila,Housing loans,14381
2002,Oripää,Housing loans,13540
2002,Pöytyä,Housing loans,15388
2002,Salo,Housing loans,20206
2002,Somero,Housing loans,13804
2002,Kaarina,Housing loans,29449
2002,Lieto,Housing loans,30554
2002,Masku,Housing loans,35034
2002,Mynämäki,Housing loans,20409
2002,Naantali,Housing loans,25412
2002,Nousiainen,Housing loans,28166
2002,Paimio,Housing loans,22337
2002,Raisio,Housing loans,23726
2002,Rusko,Housing loans,35556
2002,Sauvo,Housing loans,17389
2002,Turku,Housing loans,13402
2002,Kustavi,Housing loans,11247
2002,Laitila,Housing loans,17511
2002,Pyhäranta,Housing loans,16971
2002,Taivassalo,Housing loans,14022
2002,Uusikaupunki,Housing loans,15294
2002,Vehmaa,Housing loans,15211
2002,Kemiönsaari,Housing loans,13793
2002,Parainen,Housing loans,21709
2002,Forssa,Housing loans,14314
2002,Humppila,Housing loans,14100
2002,Jokioinen,Housing loans,18651
2002,Tammela,Housing loans,16965
2002,Ypäjä,Housing loans,11777
2002,Hattula,Housing loans,25030
2002,Hämeenlinna,Housing loans,18903
2002,Janakkala,Housing loans,21302
2002,Hausjärvi,Housing loans,24257
2002,Loppi,Housing loans,21306
2002,Riihimäki,Housing loans,18136
2002,Asikkala,Housing loans,16878
2002,Hartola,Housing loans,9230
2002,Heinola,Housing loans,13298
2002,Hollola,Housing loans,23958
2002,Kärkölä,Housing loans,16197
2002,Lahti,Housing loans,16480
2002,Orimattila,Housing loans,16963
2002,Padasjoki,Housing loans,11494
2002,Sysmä,Housing loans,9283
2002,Hamina,Housing loans,16241
2002,Kotka,Housing loans,14472
2002,Miehikkälä,Housing loans,8227
2002,Pyhtää,Housing loans,16822
2002,Virolahti,Housing loans,10616
2002,Iitti,Housing loans,11380
2002,Kouvola,Housing loans,13612
2002,Imatra,Housing loans,15143
2002,Parikkala,Housing loans,8429
2002,Rautjärvi,Housing loans,11102
2002,Ruokolahti,Housing loans,14821
2002,Lappeenranta,Housing loans,16677
