Municipality,Year,"Entitled to special refunds on medicines for psychosis, as % of total population","Hospital care for mental disorders, recipients aged 0-17 per 1000 persons of the same age","Hospital care for mental disorders, recipients aged 18-24 per 1000 persons of the same age",Mental health outpatient visits of adults per 1000 persons aged 18 and over,Mental health visits in primary health care per 1000 inhabitants,Outpatient visits in specialities of psychiatry per 1000 inhabitants,"Psychiatric inpatient care, care days per 1000 inhabitants","Psychiatric inpatient care, patients per 1000 inhabitants","Psychiatric inpatient care, periods of care per 1000 inhabitants","Psychiatric rehabilitation homes, clients on 31 Dec (24-hour assistance) per 10000 inhabitants","Psychiatric rehabilitation homes, clients on 31 Dec (part-time assistance) per 10000 inhabitants","Rahabilitative psychotherapy, recipients aged 16-24 per 1000 persons of same age","Recipients of a disability pension due to mental and behavioural disorders aged 16-24, % of total population of the same age ","Recipients of a disability pension due to mental and behavioural disorders aged 25-64, as % of total population of the same age ","Rehabilitative psychotherapy, recipients aged 25-64 per 1000 persons of same age","Reimbursement for depression medicines in those aged 65 and over, as % of total population of same age","Reimbursements for depression medicines, recipients aged 0-17, as % of total population of the same age","Reimbursements for depression medicines, recipients aged 18-64 per 1000 persons of same age","Sickness allowance for mental health reasons, recipients aged 25-64 per 1000 persons of same age"
Akaa,2000,1.2,3.7,6.1,31.7,0.0,38.5,380.6,6.3,8.9,4.0,5.0,3.4,1.0,3.6,0.8,8.2,0.1,54.7,23.5
Akaa,2001,1.2,3.4,7.8,29.2,0.0,39.8,378.4,8.2,13.0,4.0,5.0,3.4,0.8,3.7,0.8,7.7,0.2,57.3,23.5
Akaa,2002,1.3,3.1,8.1,48.4,0.0,63.0,396.0,8.7,12.4,4.0,5.0,3.4,0.6,3.7,1.3,8.1,0.1,62.8,23.5
Akaa,2003,1.4,3.7,10.7,40.0,0.0,55.0,414.2,8.4,13.0,4.0,5.0,3.4,0.5,3.8,1.4,8.3,0.3,61.4,23.5
Akaa,2004,1.4,3.1,10.7,35.8,0.0,60.1,377.8,9.1,12.9,4.0,5.0,3.4,0.3,3.8,1.2,8.6,0.1,69.6,23.5
Akaa,2005,1.5,5.2,7.2,32.5,0.0,61.4,311.5,7.8,10.6,4.0,5.0,3.4,0.3,3.7,1.3,8.2,0.2,68.0,23.3
Akaa,2006,1.5,3.2,9.2,51.1,0.0,93.2,291.6,7.3,11.3,4.0,5.0,3.4,0.4,3.8,2.0,8.7,0.3,70.7,19.6
Akaa,2007,1.5,2.9,6.7,61.3,0.0,86.9,249.0,6.3,8.8,4.0,7.0,3.4,0.4,3.7,2.0,8.6,0.2,79.1,21.6
Akaa,2008,1.5,5.3,9.7,44.8,0.0,81.2,273.5,7.7,11.0,4.0,5.0,4.9,0.3,3.6,2.1,9.0,0.2,80.7,23.1
Akaa,2009,1.5,5.3,9.6,12.9,0.0,79.5,323.9,7.4,11.0,3.0,5.0,8.2,0.7,3.7,1.9,9.3,0.4,87.6,22.9
