Municipality,Year,Mental health score
Akaa,1997,-0.8005345216978142
Akaa,1998,-0.6816681395412746
Akaa,1999,-0.47498814062429395
Akaa,2000,-0.8571117528816067
Akaa,2001,-0.5989910559277445
Akaa,2002,-0.5122235708732521
Akaa,2003,-0.38893331085132266
Akaa,2004,-0.18459890060568773
Akaa,2005,-0.270821597189209
Akaa,2006,-0.3412089846662487
Akaa,2007,-0.20851249482194995
Akaa,2008,-0.02913827686571673
Akaa,2009,0.13138892180843253
Akaa,2010,-0.19958915909225525
Akaa,2011,-0.2482722673059737
Akaa,2012,0.14497082802274844
Akaa,2013,0.22387635727830163
Akaa,2014,0.26574054080466614
Akaa,2015,0.0934226803427262
Akaa,2016,-0.1861509983231088
Akaa,2017,0.629804753061454
Akaa,2018,1.115451852846046
Akaa,2019,1.3001820721249615
Akaa,2020,1.4201279412923802
Akaa,2021,1.6093244114705467
Akaa,2022,1.750203342620108
Akaa,2023,1.4003706297570722
Alajärvi,1997,-0.5972161980321269
Alajärvi,1998,-0.6164482570517172
Alajärvi,1999,-0.5579986746489185
Alajärvi,2000,-0.30180712685594613
Alajärvi,2001,-0.13408639040492948
Alajärvi,2002,-0.3134333846203514
Alajärvi,2003,0.03630470493243015
Alajärvi,2004,0.2266823452465657
Alajärvi,2005,0.21078411346408538
Alajärvi,2006,0.692701889951265
Alajärvi,2007,0.5458738321989008
Alajärvi,2008,0.8185988844190638
Alajärvi,2009,0.30926883887399204
Alajärvi,2010,0.7248861769012973
Alajärvi,2011,0.909779914451538
Alajärvi,2012,0.9378455028423013
Alajärvi,2013,0.28277231019628585
Alajärvi,2014,0.3892950213298265
Alajärvi,2015,0.48984193477737054
Alajärvi,2016,0.44786921168048316
Alajärvi,2017,0.3991029279702831
Alajärvi,2018,0.5205696061196934
Alajärvi,2019,0.22252865452292814
Alajärvi,2020,0.2817592100589667
Alajärvi,2021,0.7477914634742808
Alajärvi,2022,0.5821753342094228
Alajärvi,2023,0.9845547813871095
Alavieska,1997,-0.8814151353568326
Alavieska,1998,-0.3626594202918445
Alavieska,1999,-0.2611898204703306
Alavieska,2000,-0.5758269587936049
Alavieska,2001,-0.4423089411873861
Alavieska,2002,-0.14907423338760067
Alavieska,2003,-0.007008838276080965
Alavieska,2004,-0.29442156893416804
Alavieska,2005,0.22897272653952253
Alavieska,2006,0.49803468413403046
Alavieska,2007,0.3937329287946448
Alavieska,2008,0.11302292468428043
Alavieska,2009,0.43071242652004543
Alavieska,2010,-0.06675288587939571
Alavieska,2011,0.0927231761054567
Alavieska,2012,0.30812858139082483
Alavieska,2013,0.32929581616659254
Alavieska,2014,-0.13037600252609205
Alavieska,2015,-0.3619884156474314
Alavieska,2016,-0.06913369379273203
Alavieska,2017,-0.08938123971274335
Alavieska,2018,0.23991839532007886
Alavieska,2019,0.40314158897358987
Alavieska,2020,0.3884883782018862
Alavieska,2021,0.6453732601730999
Alavieska,2022,0.7576706867486963
Alavieska,2023,1.2719477589933312
Alavus,1997,-0.9799794361208453
Alavus,1998,-1.1797265799602434
Alavus,1999,-1.0302027550440886
Alavus,2000,-0.8912413768671748
Alavus,2001,-0.7236096097389771
Alavus,2002,-0.8095382734760761
Alavus,2003,-0.5020624612637208
Alavus,2004,-0.2228267390444182
Alavus,2005,-0.19665681693447615
Alavus,2006,0.09160388213696762
Alavus,2007,-0.13750726529528817
Alavus,2008,-0.10188011469870539
Alavus,2009,-0.22223727953564637
Alavus,2010,-0.10021235966144948
Alavus,2011,0.0790327507088276
Alavus,2012,-0.2011047325481834
Alavus,2013,-0.22809514218538054
Alavus,2014,-0.2758556593537942
Alavus,2015,-0.022444580996508867
Alavus,2016,-0.2493842277035991
Alavus,2017,0.16317902923270797
Alavus,2018,-0.2660296198362958
Alavus,2019,-0.5008520166761186
Alavus,2020,-0.3750016950649355
Alavus,2021,0.009233990960483541
Alavus,2022,-0.2442870876944414
Alavus,2023,-0.34459418286593946
Asikkala,1997,-0.826635929088832
Asikkala,1998,-0.28591785842918843
Asikkala,1999,-0.37548901739516427
Asikkala,2000,-0.12132369443927188
Asikkala,2001,-0.3511743040217682
Asikkala,2002,-0.1257241559459288
Asikkala,2003,0.05547333462438838
Asikkala,2004,0.20460219220467
Asikkala,2005,0.013709194866946167
Asikkala,2006,0.10696404209633291
Asikkala,2007,0.01923835946971815
Asikkala,2008,0.4451026307618551
Asikkala,2009,-0.1434556915923586
Asikkala,2010,-0.20007777413409705
Asikkala,2011,0.04029261727759847
Asikkala,2012,0.14387490572354164
Asikkala,2013,-0.24219456185337107
Asikkala,2014,0.1844417789334631
Asikkala,2015,0.0913346190475955
Asikkala,2016,0.22729493532064782
Asikkala,2017,0.24670585189613836
Asikkala,2018,1.0783765133964645
Asikkala,2019,0.9991386789593496
Asikkala,2020,0.07594013022565269
Asikkala,2021,0.4704646295545188
Asikkala,2022,0.5276617072617842
Asikkala,2023,0.3904124032562711
Askola,1997,-1.7153586264313578
Askola,1998,-1.255227703249159
Askola,1999,-1.07329205130358
Askola,2000,-0.9918944982181699
Askola,2001,-1.3574528231542013
Askola,2002,-1.2211094573658932
Askola,2003,-1.0630638486394335
Askola,2004,-0.9278708538671243
Askola,2005,-1.1839086415707125
Askola,2006,-1.0367600101619316
Askola,2007,-1.2020439957990114
Askola,2008,-0.6953664540141039
Askola,2009,-0.7521503237312971
Askola,2010,-0.7780650798172362
Askola,2011,-0.6647105727690431
Askola,2012,-1.2144318777543568
Askola,2013,-1.2237028834098984
Askola,2014,-1.113829687815312
