Municipality,Year,Alcohol mortality per 100 000 inhabitants,"Entitled to special refunds on medicines for psychosis, as % of total population",Mental health visits in primary health care per 1000 inhabitants,"Psychiatric rehabilitation homes, clients on 31 Dec per population","Recipients of a disability pension due to mental and behavioural disorders aged 16-64, combined",Suicides per 100 000 inhabitants
Akaa,1997,-0.6390126151922875,-0.9596415689078179,-0.865281227942921,-0.7912517725356435,-0.5301614478649357,0.9056139773181144
Akaa,1998,-0.11249647574672658,-0.9596415689078179,-0.865281227942921,-0.7915481306768994,-0.49823705636725385,0.653631699441451
Akaa,1999,-0.5720014701719434,-0.9596415689078179,-0.865281227942921,-0.7932270323607004,-0.3705394903765264,0.45204587714011985
Akaa,2000,-0.8496190709705118,-0.9596415689078179,-0.865281227942921,-0.7930721176920419,-0.3386150988788445,0.38485060303967655
Akaa,2001,-0.5049903251515994,-0.9596415689078179,-0.865281227942921,-0.7488431547130385,-0.34905895143572885,0.8048210661674489
Akaa,2002,-0.5815744908891353,-0.8113796921018712,-0.865281227942921,-0.6148818204391866,-0.4129077344310926,0.7376257920670055
Akaa,2003,0.1651211250518418,-0.6631178152959247,-0.865281227942921,-0.6639695046179059,-0.39142719549029525,0.13286832516301303
Akaa,2004,0.1172560214658817,-0.6631178152959247,-0.865281227942921,-0.5759176275754156,-0.455275978485659,0.468844695665231
Akaa,2005,0.13640206290026602,-0.5148559384899779,-0.865281227942921,-0.6677308215345107,-0.5086809089241381,0.18326478073834584
Akaa,2006,0.39487362226445,-0.5148559384899779,-0.865281227942921,-0.4076863808507091,-0.4233515869879771,0.26725887336390036
Akaa,2007,1.2755915282461157,-0.5148559384899779,-0.865281227942921,-0.23927876762269196,-0.47675651742645625,0.14966714368812417
Akaa,2008,1.1224231967710434,-0.5148559384899779,-0.865281227942921,-0.4608693126990091,-0.5620858393626176,-0.08551631566342877
Akaa,2009,0.9501088238615875,-0.5148559384899779,-0.865281227942921,-0.4616252216063721,-0.3809833429334107,0.03207541401234741
Akaa,2010,0.1651211250518418,-0.5148559384899779,-0.844422794368727,-0.3813154362958859,-0.3275784124949315,-0.45509032321586834
Akaa,2011,-0.3613950143937192,-0.5148559384899779,-0.05180231854935847,-0.29908853224890236,-0.44483212592877436,-0.035119860088095936
Akaa,2012,0.25127831150656976,-0.3665940616840312,0.06083322275128864,-0.4287952169526057,-0.47675651742645625,-0.3374985935400922
Akaa,2013,0.5671879951739068,-0.5148559384899779,0.26524587177838893,-0.3851669326758023,-0.4343882733718901,0.28405769188901087
Akaa,2014,0.22255924935499405,-0.5148559384899779,0.30279105221193797,-0.12603054288878102,-0.3920200293173239,-0.3374985935400922
Akaa,2015,0.06939091787992162,-0.5148559384899779,0.33199285921580945,-0.21128381830178655,-0.5307542816919646,-0.5222855973163121
Akaa,2016,0.1172560214658817,-0.5148559384899779,0.08169165632548256,-0.29145843888494727,-0.5203104291350801,-0.7238714196176427
Akaa,2017,-0.2943838693733748,-0.3665940616840312,0.2485591249190338,-0.28432988230973455,-0.5522348206327619,-1.1942383383207478
Akaa,2018,-0.11249647574672658,-0.5148559384899779,0.42376996694226265,0.030656632616838417,-0.48838603763739824,-0.6230785084669773
Akaa,2019,-0.4762712630000233,-0.3665940616840312,0.6573844229732345,0.08401966300556248,-0.5203104291350801,-0.9590548789691953
Akaa,2020,-0.14121553789830268,-0.3665940616840312,0.8826555055745288,0.0008752529651651292,-0.45646164613971635,-0.9422560604440845
Akaa,2021,-0.3996870972624871,-0.5148559384899779,0.5864657488209751,-0.09269210391890585,-0.47794218508051395,-0.8918596048687516
Akaa,2022,-0.23694574507022284,-0.5148559384899779,0.35702297950484213,-0.18165058755097782,-0.4355739410259477,-0.6566761455171991
Akaa,2023,-0.23694574507022284,-0.6631178152959247,-0.07683243883839116,-0.26694853717670713,-0.520903262962109,-0.6566761455171991
Alajärvi,1997,-1.5293035418911451,0.8195009527635416,-0.8152209873648555,-0.7585333040948296,0.025368395460655512,1.1407974366696667
Alajärvi,1998,-1.4814384383051853,0.8195009527635416,-0.8485944810835658,-0.7563439249752782,0.17454650039218025,-0.16951040828898323
Alajärvi,1999,-1.6154607283458733,0.8195009527635416,-0.8027059272203392,-0.4398610846375312,0.3347612917076182,0.015276595487236873
Alajärvi,2000,-1.462292396870801,0.9677628295694884,-0.7818474936461453,-0.43325701653478604,0.3562418306484161,0.45204587714011985
Alajärvi,2001,-0.5911475116063274,0.9677628295694884,-0.8277360475093719,-0.2954966470798858,0.24943196977145726,-0.11911395271365044
Alajärvi,2002,-1.5963146869114893,0.9677628295694884,-0.865281227942921,-0.3499732065755276,0.2813563612691391,-0.1863092268140938
Alajärvi,2003,-0.43797918013125503,0.9677628295694884,-0.865281227942921,-0.2769502014258188,0.3992029085300111,0.31765532893923315
Alajärvi,2004,-0.7730349052329756,0.9677628295694884,-0.865281227942921,-0.20732684008602686,0.5379371609046514,0.23366123631367863
Alajärvi,2005,-0.5337093873031752,1.1160247063754354,-0.8611095412280821,-0.13120920637610292,0.5594176998454492,-0.1023151341885393
Alajärvi,2006,-0.3326759522421431,1.1160247063754354,-0.806877613935178,-0.11885970347411416,0.6128226302839284,0.6704305179665616
Alajärvi,2007,-0.09335043431234262,0.9677628295694884,-0.7943625537906617,-0.11265128004479809,0.6662275607224081,0.14966714368812417
Alajärvi,2008,-0.42840615941406324,0.9677628295694884,-0.7860191803609841,0.0989781001135707,0.6128226302839284,0.5864364253410072
Alajärvi,2009,-0.3326759522421431,0.9677628295694884,-0.652525205486143,-0.2394066035105329,0.7196324911608873,-0.2703033194396482
Alajärvi,2010,0.09810998003149808,0.9677628295694884,-0.035115571690003344,0.11533161934745244,0.7515568826585692,-0.4382915046907575
Alajärvi,2011,-0.4762712630000233,0.9677628295694884,-0.2603866542912976,-0.007674153806127057,0.8368862045947302,-0.2703033194396482
Alajärvi,2012,-0.4762712630000233,0.8195009527635416,0.09837840318483768,-0.0015833287225228887,0.7620007352154536,-0.4382915046907575
Alajärvi,2013,-0.6294395944750953,0.8195009527635416,0.19849888434096843,-0.5681759226700296,1.060356945078503,-1.0262501530696388
Alajärvi,2014,-0.23694574507022284,0.8195009527635416,0.4654868340906505,0.3673400469715596,0.9111788401469785,-0.9422560604440845
Alajärvi,2015,-0.41883313869687105,0.8195009527635416,1.4750350190816357,0.39100374861110926,0.8896983012061811,-1.0934454271700826
Alajärvi,2016,-0.11249647574672658,0.6712390759575949,1.070381407742274,0.3330482010733872,0.9105860063199497,-0.8414631492934191
Alajärvi,2017,-0.7826079259501678,0.6712390759575949,-0.11020593255710141,0.7139003700613422,0.8252566843837882,-0.5726820528916446
Alajärvi,2018,-0.6773046980610553,0.6712390759575949,0.18181213748161332,0.5122553035063018,0.8891054673791517,-1.0766466086449715
Alajärvi,2019,-1.0602255267487362,0.9677628295694884,-0.005913764686131869,0.6113782091616254,0.8037761454429908,-0.8918596048687516
Alajärvi,2020,-0.993214381728392,0.5229771991516488,-0.05180231854935847,0.7918293261617071,0.9529542503745155,-0.6062796899418665
Alajärvi,2021,-0.7443158430813999,0.5229771991516488,-0.16860954656484436,1.0485334591206195,1.070207963808359,-0.6062796899418665
Alajärvi,2022,-0.9357762574252402,0.374715322345702,-0.15192279970548922,1.0780309935541879,0.9744347893153135,-1.832593442274962
Alajärvi,2023,-0.9357762574252402,0.374715322345702,1.203875382617115,1.014431573873785,1.0278397197537925,-1.832593442274962
Alavieska,1997,-1.6537528112146413,0.07819156873380849,0.22770069134483992,0.12321263771641686,-0.2306195703478281,1.5103714442221066
Alavieska,1998,-0.5911475116063274,0.07819156873380849,0.48634526766484437,0.13697341317534073,-0.0704047790323901,1.0400045255190011
