Municipality,Year,0
Akaa,1997,-4.815447755471899
Akaa,1998,-4.125206515071255
Akaa,1999,-3.21808836890222
Akaa,2000,-5.391750546328836
Akaa,2001,-3.7763543510610535
Akaa,2002,-3.3371987546052413
Akaa,2003,-2.601457531816732
Akaa,2004,-1.4510244102139356
Akaa,2005,-1.987495612135875
Akaa,2006,-2.121709373341064
Akaa,2007,-1.224865255636212
Akaa,2008,-0.545270620722442
Akaa,2009,0.28529192402049947
Akaa,2010,-1.815379958373185
Akaa,2011,-1.8844781041942404
Akaa,2012,0.2932736448664777
Akaa,2013,0.989900717662826
Akaa,2014,0.982566927477996
Akaa,2015,-0.15025335568765985
Akaa,2016,-1.7564741303863465
Akaa,2017,2.2641198459631817
Akaa,2018,5.071684826417217
Akaa,2019,5.810319643018462
Akaa,2020,6.549983222424845
Akaa,2021,7.189106477966049
Akaa,2022,7.816781998456449
Akaa,2023,5.7537464328007255
Alajärvi,1997,-3.1809345674689187
Alajärvi,1998,-3.6572601465952217
Alajärvi,1999,-3.1957509660688204
Alajärvi,2000,-1.6394900045896346
Alajärvi,2001,-0.6692480790054027
Alajärvi,2002,-2.0204999624024205
Alajärvi,2003,0.4118880377298116
Alajärvi,2004,1.336896643009267
Alajärvi,2005,1.2165244100674024
Alajärvi,2006,4.113225572652503
Alajärvi,2007,3.0985451636127377
Alajärvi,2008,4.699971560642996
Alajärvi,2009,1.6145569345658912
Alajärvi,2010,4.1992257398400605
Alajärvi,2011,4.940223516218965
Alajärvi,2012,5.029092585831518
Alajärvi,2013,1.2948978839644294
Alajärvi,2014,2.2674366395101035
Alajärvi,2015,3.0180599054689194
Alajärvi,2016,2.8680621738335277
Alajärvi,2017,2.0919422441055766
Alajärvi,2018,2.638369099826011
Alajärvi,2019,0.8785237352086467
Alajärvi,2020,1.2431011610183658
Alajärvi,2021,3.76277249797188
Alajärvi,2022,2.2790167482945476
Alajärvi,2023,4.69904476019493
Alavieska,1997,-4.197843979327307
Alavieska,1998,-1.1769763327576663
Alavieska,1999,-0.3890705854349157
Alavieska,2000,-2.037179031982773
Alavieska,2001,-1.4034930528391223
Alavieska,2002,-0.05793125621297804
Alavieska,2003,0.9811901861172223
Alavieska,2004,-0.41667901375935
Alavieska,2005,2.3128243674926674
Alavieska,2006,3.923193626776829
Alavieska,2007,3.0196707363781803
Alavieska,2008,1.248848751475856
Alavieska,2009,3.45584394044007
Alavieska,2010,0.6170462099789775
Alavieska,2011,1.6747502345474081
Alavieska,2012,2.242799623037245
Alavieska,2013,2.3753416404367926
Alavieska,2014,-0.2209380798799505
Alavieska,2015,-1.430216165986789
Alavieska,2016,0.5844661290048748
Alavieska,2017,0.3090216949090153
Alavieska,2018,1.8153412887654647
Alavieska,2019,2.692421013580761
Alavieska,2020,2.691234392354336
Alavieska,2021,3.9576317453153154
Alavieska,2022,4.095999360367624
Alavieska,2023,6.192760105886739
Alavus,1997,-5.250180281164294
Alavus,1998,-6.772066734921631
Alavus,1999,-6.036818248689068
Alavus,2000,-5.046666644732044
Alavus,2001,-4.15180958141859
Alavus,2002,-4.691374910997498
Alavus,2003,-2.2576217619042045
Alavus,2004,-0.8681027835592771
Alavus,2005,-0.7902408838056908
Alavus,2006,0.9178740887484517
Alavus,2007,-0.3812181631221725
Alavus,2008,-0.038404212203115407
Alavus,2009,-0.8499705868520173
Alavus,2010,0.014503577049896799
Alavus,2011,0.7415387909055866
Alavus,2012,-0.8189602619696272
Alavus,2013,-1.222810096104268
Alavus,2014,-1.3604674355997703
Alavus,2015,-0.06063025365035868
Alavus,2016,-1.0378966823200335
Alavus,2017,1.3639365976552305
Alavus,2018,-0.9348475075338207
Alavus,2019,-2.2977140276052515
Alavus,2020,-1.7516196897070742
Alavus,2021,0.4794864247340922
Alavus,2022,-1.6041706445371362
Alavus,2023,-1.7379076413330505
Asikkala,1997,-4.560575664569157
Asikkala,1998,-1.136792477653798
Asikkala,1999,-1.6847733629932808
Asikkala,2000,-0.20842391206799693
Asikkala,2001,-1.6741677214420407
Asikkala,2002,-0.0853369955165606
Asikkala,2003,0.8647053299710366
Asikkala,2004,1.9786885831020111
Asikkala,2005,1.045534875290071
Asikkala,2006,1.3953304927827974
Asikkala,2007,0.8244305099262156
Asikkala,2008,3.324072188091614
Asikkala,2009,-0.5451424588508996
Asikkala,2010,-0.8578085740586587
Asikkala,2011,0.5805968166933633
Asikkala,2012,1.1497264909882943
Asikkala,2013,-1.2237785885392674
Asikkala,2014,1.3814813267906108
Asikkala,2015,0.48052687897016577
Asikkala,2016,1.584605655527703
Asikkala,2017,1.6011072722947652
Asikkala,2018,5.869588133153666
Asikkala,2019,5.101944360821529
Asikkala,2020,-0.12939186490876298
Asikkala,2021,1.8355716882747724
Asikkala,2022,1.8495875938170443
Asikkala,2023,1.4674974415843234
Askola,1997,-10.48114175963917
Askola,1998,-7.499363216432894
Askola,1999,-6.574957209722846
Askola,2000,-6.311542779354377
Askola,2001,-8.458012063446969
Askola,2002,-7.629120895101729
Askola,2003,-6.666822128813852
Askola,2004,-5.646432127614498
Askola,2005,-7.021169856228983
Askola,2006,-6.16885065155686
Askola,2007,-7.576423948087726
Askola,2008,-4.7223038537227096
Askola,2009,-4.475256912335375
Askola,2010,-5.272251437422955
Askola,2011,-4.71849066906788
Askola,2012,-7.788422593867339
Askola,2013,-7.6765829812338255
Askola,2014,-7.08866599102635
Askola,2015,-7.050156476807212
Askola,2016,-8.560023211458118
Askola,2017,-6.9289033023960105
Askola,2018,-4.402883186165675
Askola,2019,-5.639834166850527
Askola,2020,-5.648871259246007
Askola,2021,-4.037139247617806
Askola,2022,-6.152754070160097
Askola,2023,-5.28455005895924
Aura,1997,-4.610582999742462
Aura,1998,-3.171456148398791
Aura,1999,-2.8540358889029083
Aura,2000,-2.664318249145144
Aura,2001,-2.9016230906598697
Aura,2002,-6.16237415171936
Aura,2003,-4.494900161915953
Aura,2004,-4.2001857740536765
Aura,2005,-2.4600726839796665
