year,municipality,type_of_debt,mean_debt_euro
2002,Espoo,Other debts,6868
2002,Helsinki,Other debts,5050
2002,Hyvinkää,Other debts,5690
2002,Järvenpää,Other debts,6635
2002,Karkkila,Other debts,5642
2002,Kauniainen,Other debts,9843
2002,Kerava,Other debts,6078
2002,Kirkkonummi,Other debts,7901
2002,Lohja,Other debts,6011
2002,Mäntsälä,Other debts,8258
2002,Nurmijärvi,Other debts,7798
2002,Pornainen,Other debts,8467
2002,Sipoo,Other debts,8131
2002,Siuntio,Other debts,9010
2002,Tuusula,Other debts,7738
2002,Vantaa,Other debts,6216
2002,Vihti,Other debts,7841
2002,Lapinjärvi,Other debts,5478
2002,Loviisa,Other debts,5960
2002,Askola,Other debts,8777
2002,Myrskylä,Other debts,5359
2002,Porvoo,Other debts,6407
2002,Pukkila,Other debts,9587
2002,Hanko,Other debts,5130
2002,Inkoo,Other debts,8514
2002,Raasepori,Other debts,5951
2002,Aura,Other debts,8976
2002,Koski Tl,Other debts,5150
2002,Loimaa,Other debts,5968
2002,Marttila,Other debts,7208
2002,Oripää,Other debts,5995
2002,Pöytyä,Other debts,8250
2002,Salo,Other debts,5721
2002,Somero,Other debts,6513
2002,Kaarina,Other debts,7363
2002,Lieto,Other debts,7560
2002,Masku,Other debts,9656
2002,Mynämäki,Other debts,8875
2002,Naantali,Other debts,9105
2002,Nousiainen,Other debts,9534
2002,Paimio,Other debts,11602
2002,Raisio,Other debts,6220
2002,Rusko,Other debts,8853
2002,Sauvo,Other debts,18633
2002,Turku,Other debts,4507
2002,Kustavi,Other debts,13606
2002,Laitila,Other debts,11446
2002,Pyhäranta,Other debts,7267
2002,Taivassalo,Other debts,13290
2002,Uusikaupunki,Other debts,7016
2002,Vehmaa,Other debts,17588
2002,Kemiönsaari,Other debts,9622
2002,Parainen,Other debts,6721
2002,Forssa,Other debts,5441
2002,Humppila,Other debts,7302
2002,Jokioinen,Other debts,8018
2002,Tammela,Other debts,6938
2002,Ypäjä,Other debts,8129
2002,Hattula,Other debts,7024
2002,Hämeenlinna,Other debts,6164
2002,Janakkala,Other debts,6702
2002,Hausjärvi,Other debts,8171
2002,Loppi,Other debts,7568
2002,Riihimäki,Other debts,5152
2002,Asikkala,Other debts,6496
2002,Hartola,Other debts,4853
2002,Heinola,Other debts,5319
2002,Hollola,Other debts,5998
2002,Kärkölä,Other debts,6201
2002,Lahti,Other debts,4811
2002,Orimattila,Other debts,5923
2002,Padasjoki,Other debts,6360
2002,Sysmä,Other debts,4232
2002,Hamina,Other debts,5888
2002,Kotka,Other debts,5302
2002,Miehikkälä,Other debts,8357
2002,Pyhtää,Other debts,6998
2002,Virolahti,Other debts,6597
2002,Iitti,Other debts,5850
2002,Kouvola,Other debts,5513
2002,Imatra,Other debts,5438
2002,Parikkala,Other debts,5005
2002,Rautjärvi,Other debts,5935
2002,Ruokolahti,Other debts,6485
2002,Lappeenranta,Other debts,5107
2002,Lemi,Other debts,6657
2002,Luumäki,Other debts,5483
2002,Savitaipale,Other debts,5254
2002,Taipalsaari,Other debts,9054
2002,Jämijärvi,Other debts,7168
2002,Kankaanpää,Other debts,7237
2002,Karvia,Other debts,11794
2002,Siikainen,Other debts,4982
2002,Harjavalta,Other debts,5074
2002,Huittinen,Other debts,7240
2002,Kokemäki,Other debts,4572
2002,Merikarvia,Other debts,6282
2002,Nakkila,Other debts,7400
2002,Pomarkku,Other debts,5770
2002,Pori,Other debts,5756
2002,Ulvila,Other debts,7101
2002,Eura,Other debts,6508
2002,Eurajoki,Other debts,8643
2002,Rauma,Other debts,5855
2002,Säkylä,Other debts,5985
2002,Akaa,Other debts,6293
2002,Urjala,Other debts,4973
2002,Valkeakoski,Other debts,5536
2002,Punkalaidun,Other debts,6526
2002,Sastamala,Other debts,6648
2002,Ikaalinen,Other debts,6019
2002,Kihniö,Other debts,6046
2002,Parkano,Other debts,5689
2002,Hämeenkyrö,Other debts,5514
2002,Kangasala,Other debts,7089
2002,Lempäälä,Other debts,6596
2002,Nokia,Other debts,5903
2002,Orivesi,Other debts,6875
2002,Pirkkala,Other debts,7199
2002,Pälkäne,Other debts,7609
2002,Tampere,Other debts,4747
2002,Vesilahti,Other debts,7058
2002,Ylöjärvi,Other debts,7161
2002,Juupajoki,Other debts,7646
2002,Mänttä-Vilppula,Other debts,7973
2002,Ruovesi,Other debts,4565
2002,Virrat,Other debts,5983
2002,Joutsa,Other debts,5944
2002,Luhanka,Other debts,4697
2002,Hankasalmi,Other debts,6437
2002,Jyväskylä,Other debts,4861
2002,Laukaa,Other debts,7059
2002,Muurame,Other debts,7424
2002,Petäjävesi,Other debts,4239
2002,Toivakka,Other debts,6925
2002,Uurainen,Other debts,6595
2002,Jämsä,Other debts,6516
2002,Kuhmoinen,Other debts,5608
2002,Keuruu,Other debts,5377
2002,Multia,Other debts,5328
2002,Kannonkoski,Other debts,5822
2002,Karstula,Other debts,6055
2002,Kinnula,Other debts,12378
2002,Kivijärvi,Other debts,5360
2002,Kyyjärvi,Other debts,5503
2002,Pihtipudas,Other debts,13126
2002,Saarijärvi,Other debts,4960
2002,Viitasaari,Other debts,6546
2002,Konnevesi,Other debts,6371
2002,Äänekoski,Other debts,5093
2002,Alajärvi,Other debts,5980
2002,Evijärvi,Other debts,9149
2002,Lappajärvi,Other debts,5601
2002,Soini,Other debts,4872
2002,Vimpeli,Other debts,7055
2002,Alavus,Other debts,6438
2002,Kuortane,Other debts,7224
2002,Ähtäri,Other debts,5978
2002,Ilmajoki,Other debts,7605
2002,Kauhava,Other debts,6860
2002,Kurikka,Other debts,6536
2002,Lapua,Other debts,8237
2002,Seinäjoki,Other debts,7579
2002,Isojoki,Other debts,5792
2002,Karijoki,Other debts,6523
2002,Kauhajoki,Other debts,6387
2002,Teuva,Other debts,6642
2002,Kruunupyy,Other debts,9740
2002,Luoto,Other debts,11173
2002,Pedersören kunta,Other debts,9353
2002,Pietarsaari,Other debts,7183
2002,Uusikaarlepyy,Other debts,7136
2002,Isokyrö,Other debts,9147
2002,Laihia,Other debts,9184
2002,Kaskinen,Other debts,6185
2002,Kristiinankaupunki,Other debts,6495
2002,Närpiö,Other debts,7450
2002,Korsnäs,Other debts,8449
2002,Maalahti,Other debts,9550
2002,Mustasaari,Other debts,8758
2002,Vaasa,Other debts,5718
2002,Vöyri,Other debts,9638
2002,Hirvensalmi,Other debts,5065
2002,Kangasniemi,Other debts,4540
2002,Mikkeli,Other debts,5774
2002,Mäntyharju,Other debts,4691
2002,Pertunmaa,Other debts,4584
2002,Puumala,Other debts,7675
2002,Joroinen,Other debts,6601
2002,Juva,Other debts,7457
2002,Pieksämäki,Other debts,5158
2002,Enonkoski,Other debts,7492
2002,Heinävesi,Other debts,4703
2002,Rantasalmi,Other debts,8688
2002,Savonlinna,Other debts,5066
2002,Sulkava,Other debts,5867
2002,Kaavi,Other debts,4003
2002,Rautavaara,Other debts,4303
2002,Tuusniemi,Other debts,5014
2002,Kuopio,Other debts,5619
2002,Siilinjärvi,Other debts,6867
2002,Rautalampi,Other debts,5322
2002,Suonenjoki,Other debts,4863
2002,Tervo,Other debts,5598
2002,Vesanto,Other debts,4257
2002,Leppävirta,Other debts,6450
2002,Varkaus,Other debts,5571
2002,Iisalmi,Other debts,4795
2002,Keitele,Other debts,5858
2002,Kiuruvesi,Other debts,6155
2002,Lapinlahti,Other debts,6219
2002,Pielavesi,Other debts,6269
2002,Sonkajärvi,Other debts,4951
2002,Vieremä,Other debts,6727
2002,Ilomantsi,Other debts,3177
2002,Joensuu,Other debts,4179
2002,Juuka,Other debts,3209
2002,Kontiolahti,Other debts,12712
2002,Liperi,Other debts,7097
2002,Outokumpu,Other debts,4744
2002,Polvijärvi,Other debts,4063
2002,Kitee,Other debts,6358
2002,Rääkkylä,Other debts,6089
2002,Tohmajärvi,Other debts,5072
2002,Lieksa,Other debts,3912
2002,Nurmes,Other debts,4173
2002,Halsua,Other debts,9167
2002,Kaustinen,Other debts,10094
2002,Lestijärvi,Other debts,15479
2002,Perho,Other debts,16618
2002,Toholampi,Other debts,18793
2002,Veteli,Other debts,12439
2002,Kannus,Other debts,13026
2002,Kokkola,Other debts,8669
2002,Haapavesi,Other debts,6110
2002,Pyhäntä,Other debts,9560
2002,Siikalatva,Other debts,7032
2002,Kuusamo,Other debts,6217
2002,Taivalkoski,Other debts,6314
2002,Haapajärvi,Other debts,7775
2002,Kärsämäki,Other debts,7953
2002,Nivala,Other debts,8403
2002,Pyhäjärvi,Other debts,5795
2002,Reisjärvi,Other debts,7490
2002,Hailuoto,Other debts,7892
2002,Kempele,Other debts,8972
2002,Liminka,Other debts,10266
2002,Lumijoki,Other debts,10955
2002,Muhos,Other debts,6145
2002,Oulu,Other debts,6023
2002,Tyrnävä,Other debts,10994
2002,Ii,Other debts,6969
2002,Pudasjärvi,Other debts,5182
2002,Utajärvi,Other debts,8749
2002,Vaala,Other debts,5956
2002,Pyhäjoki,Other debts,10081
2002,Raahe,Other debts,7494
2002,Siikajoki,Other debts,18942
2002,Alavieska,Other debts,7187
2002,Kalajoki,Other debts,9013
2002,Merijärvi,Other debts,7899
2002,Oulainen,Other debts,7059
2002,Sievi,Other debts,7050
2002,Ylivieska,Other debts,6336
2002,Kajaani,Other debts,5710
2002,Paltamo,Other debts,5018
2002,Ristijärvi,Other debts,4514
2002,Sotkamo,Other debts,5453
2002,Hyrynsalmi,Other debts,4571
2002,Kuhmo,Other debts,4359
2002,Puolanka,Other debts,4636
2002,Suomussalmi,Other debts,4745
2002,Kemijärvi,Other debts,4106
2002,Pelkosenniemi,Other debts,5232
2002,Posio,Other debts,4954
2002,Salla,Other debts,4832
2002,Savukoski,Other debts,5485
2002,Kemi,Other debts,5256
2002,Keminmaa,Other debts,7283
2002,Simo,Other debts,6065
2002,Tervola,Other debts,5069
2002,Tornio,Other debts,7280
2002,Inari,Other debts,6482
2002,Sodankylä,Other debts,6911
2002,Utsjoki,Other debts,8391
2002,Ranua,Other debts,5627
2002,Rovaniemi,Other debts,5210
2002,Pello,Other debts,5164
2002,Ylitornio,Other debts,6487
2002,Enontekiö,Other debts,7707
2002,Kittilä,Other debts,6656
2002,Kolari,Other debts,6471
2002,Muonio,Other debts,6484
2002,Maarianhamina - Mariehamn,Other debts,6368
2002,Eckerö,Other debts,6724
2002,Finström,Other debts,7998
2002,Geta,Other debts,6743
2002,Hammarland,Other debts,9632
2002,Jomala,Other debts,9082
2002,Lemland,Other debts,7711
2002,Lumparland,Other debts,13859
2002,Saltvik,Other debts,6790
2002,Sund,Other debts,5936
2002,Brändö,Other debts,7179
2002,Föglö,Other debts,5597
2002,Kumlinge,Other debts,6378
2002,Kökar,Other debts,8729
2002,Sottunga,Other debts,3633
2002,Vårdö,Other debts,9411
2003,Espoo,Other debts,7845
2003,Helsinki,Other debts,5666
2003,Hyvinkää,Other debts,6462
2003,Järvenpää,Other debts,7217
2003,Karkkila,Other debts,6457
2003,Kauniainen,Other debts,10356
2003,Kerava,Other debts,6629
2003,Kirkkonummi,Other debts,8758
2003,Lohja,Other debts,6743
2003,Mäntsälä,Other debts,8808
2003,Nurmijärvi,Other debts,8541
2003,Pornainen,Other debts,9617
2003,Sipoo,Other debts,8896
2003,Siuntio,Other debts,9891
2003,Tuusula,Other debts,8726
2003,Vantaa,Other debts,6937
2003,Vihti,Other debts,8700
2003,Lapinjärvi,Other debts,5478
2003,Loviisa,Other debts,6343
2003,Askola,Other debts,8866
2003,Myrskylä,Other debts,6320
2003,Porvoo,Other debts,7027
2003,Pukkila,Other debts,10868
2003,Hanko,Other debts,6114
2003,Inkoo,Other debts,8753
2003,Raasepori,Other debts,6225
2003,Aura,Other debts,9339
2003,Koski Tl,Other debts,6748
2003,Loimaa,Other debts,7072
2003,Marttila,Other debts,8512
2003,Oripää,Other debts,7921
2003,Pöytyä,Other debts,9776
2003,Salo,Other debts,6799
2003,Somero,Other debts,6581
2003,Kaarina,Other debts,7787
2003,Lieto,Other debts,8183
2003,Masku,Other debts,10887
2003,Mynämäki,Other debts,8681
2003,Naantali,Other debts,10329
2003,Nousiainen,Other debts,9589
2003,Paimio,Other debts,8716
2003,Raisio,Other debts,6650
2003,Rusko,Other debts,9376
2003,Sauvo,Other debts,9061
2003,Turku,Other debts,4807
2003,Kustavi,Other debts,9124
2003,Laitila,Other debts,6068
2003,Pyhäranta,Other debts,7496
2003,Taivassalo,Other debts,6933
2003,Uusikaupunki,Other debts,5774
2003,Vehmaa,Other debts,6647
2003,Kemiönsaari,Other debts,7432
2003,Parainen,Other debts,6885
2003,Forssa,Other debts,5938
2003,Humppila,Other debts,7945
2003,Jokioinen,Other debts,9485
2003,Tammela,Other debts,7930
2003,Ypäjä,Other debts,8863
2003,Hattula,Other debts,8374
2003,Hämeenlinna,Other debts,6740
2003,Janakkala,Other debts,7045
2003,Hausjärvi,Other debts,8442
2003,Loppi,Other debts,7835
2003,Riihimäki,Other debts,5757
2003,Asikkala,Other debts,8746
2003,Hartola,Other debts,5309
2003,Heinola,Other debts,5607
2003,Hollola,Other debts,6914
2003,Kärkölä,Other debts,8085
2003,Lahti,Other debts,5108
2003,Orimattila,Other debts,7063
2003,Padasjoki,Other debts,7620
2003,Sysmä,Other debts,5582
2003,Hamina,Other debts,6381
2003,Kotka,Other debts,5600
2003,Miehikkälä,Other debts,6929
2003,Pyhtää,Other debts,7635
2003,Virolahti,Other debts,6433
2003,Iitti,Other debts,5912
2003,Kouvola,Other debts,5925
