year,municipality,type_of_debt,mean_debt_euro
2002,Espoo,Loans charged on business activities or a source of income,2317
2002,Helsinki,Loans charged on business activities or a source of income,1885
2002,Hyvinkää,Loans charged on business activities or a source of income,1803
2002,Järvenpää,Loans charged on business activities or a source of income,1088
2002,Karkkila,Loans charged on business activities or a source of income,2196
2002,Kauniainen,Loans charged on business activities or a source of income,7495
2002,Kerava,Loans charged on business activities or a source of income,911
2002,Kirkkonummi,Loans charged on business activities or a source of income,1921
2002,Lohja,Loans charged on business activities or a source of income,2629
2002,Mäntsälä,Loans charged on business activities or a source of income,3532
2002,Nurmijärvi,Loans charged on business activities or a source of income,1982
2002,Pornainen,Loans charged on business activities or a source of income,5322
2002,Sipoo,Loans charged on business activities or a source of income,4543
2002,Siuntio,Loans charged on business activities or a source of income,4752
2002,Tuusula,Loans charged on business activities or a source of income,1630
2002,Vantaa,Loans charged on business activities or a source of income,988
2002,Vihti,Loans charged on business activities or a source of income,2753
2002,Lapinjärvi,Loans charged on business activities or a source of income,14244
2002,Loviisa,Loans charged on business activities or a source of income,4247
2002,Askola,Loans charged on business activities or a source of income,9844
2002,Myrskylä,Loans charged on business activities or a source of income,10735
2002,Porvoo,Loans charged on business activities or a source of income,2817
2002,Pukkila,Loans charged on business activities or a source of income,12087
2002,Hanko,Loans charged on business activities or a source of income,1627
2002,Inkoo,Loans charged on business activities or a source of income,4645
2002,Raasepori,Loans charged on business activities or a source of income,2071
2002,Aura,Loans charged on business activities or a source of income,7746
2002,Koski Tl,Loans charged on business activities or a source of income,16727
2002,Loimaa,Loans charged on business activities or a source of income,11398
2002,Marttila,Loans charged on business activities or a source of income,17525
2002,Oripää,Loans charged on business activities or a source of income,20187
2002,Pöytyä,Loans charged on business activities or a source of income,11380
2002,Salo,Loans charged on business activities or a source of income,6046
2002,Somero,Loans charged on business activities or a source of income,14196
2002,Kaarina,Loans charged on business activities or a source of income,2610
2002,Lieto,Loans charged on business activities or a source of income,5067
2002,Masku,Loans charged on business activities or a source of income,4972
2002,Mynämäki,Loans charged on business activities or a source of income,11597
2002,Naantali,Loans charged on business activities or a source of income,5835
2002,Nousiainen,Loans charged on business activities or a source of income,8492
2002,Paimio,Loans charged on business activities or a source of income,4069
2002,Raisio,Loans charged on business activities or a source of income,2159
2002,Rusko,Loans charged on business activities or a source of income,8862
2002,Sauvo,Loans charged on business activities or a source of income,6391
2002,Turku,Loans charged on business activities or a source of income,1761
2002,Kustavi,Loans charged on business activities or a source of income,3676
2002,Laitila,Loans charged on business activities or a source of income,3162
2002,Pyhäranta,Loans charged on business activities or a source of income,4793
2002,Taivassalo,Loans charged on business activities or a source of income,8596
2002,Uusikaupunki,Loans charged on business activities or a source of income,1743
2002,Vehmaa,Loans charged on business activities or a source of income,10675
2002,Kemiönsaari,Loans charged on business activities or a source of income,2454
2002,Parainen,Loans charged on business activities or a source of income,3522
2002,Forssa,Loans charged on business activities or a source of income,2325
2002,Humppila,Loans charged on business activities or a source of income,10483
2002,Jokioinen,Loans charged on business activities or a source of income,6351
2002,Tammela,Loans charged on business activities or a source of income,6613
2002,Ypäjä,Loans charged on business activities or a source of income,14182
2002,Hattula,Loans charged on business activities or a source of income,3353
2002,Hämeenlinna,Loans charged on business activities or a source of income,2185
2002,Janakkala,Loans charged on business activities or a source of income,3940
2002,Hausjärvi,Loans charged on business activities or a source of income,13845
2002,Loppi,Loans charged on business activities or a source of income,5058
2002,Riihimäki,Loans charged on business activities or a source of income,1267
2002,Asikkala,Loans charged on business activities or a source of income,4694
2002,Hartola,Loans charged on business activities or a source of income,9156
2002,Heinola,Loans charged on business activities or a source of income,1966
2002,Hollola,Loans charged on business activities or a source of income,4087
2002,Kärkölä,Loans charged on business activities or a source of income,6393
2002,Lahti,Loans charged on business activities or a source of income,1424
