income,year,municipality
23932,1997,Akaa
20350,1997,Alajärvi
18188,1997,Alavieska
20468,1997,Alavus
23793,1997,Asikkala
30855,1997,Askola
29313,1997,Aura
29045,1997,Brändö
28621,1997,Eckerö
16151,1997,Enonkoski
21391,1997,Enontekiö
47105,1997,Espoo
26368,1997,Eura
28629,1997,Eurajoki
18261,1997,Evijärvi
34726,1997,Finström
23377,1997,Forssa
25580,1997,Föglö
21192,1997,Geta
21133,1997,Haapajärvi
22162,1997,Haapavesi
20789,1997,Hailuoto
16166,1997,Halsua
28330,1997,Hamina
31012,1997,Hammarland
16789,1997,Hankasalmi
31744,1997,Hanko
28059,1997,Harjavalta
14954,1997,Hartola
30196,1997,Hattula
26800,1997,Hausjärvi
25537,1997,Heinola
16524,1997,Heinävesi
32237,1997,Helsinki
13535,1997,Hirvensalmi
30470,1997,Hollola
21153,1997,Huittinen
18995,1997,Humppila
16125,1997,Hyrynsalmi
31366,1997,Hyvinkää
24525,1997,Hämeenkyrö
24756,1997,Hämeenlinna
21770,1997,Ii
23246,1997,Iisalmi
21093,1997,Iitti
21610,1997,Ikaalinen
23336,1997,Ilmajoki
16730,1997,Ilomantsi
25639,1997,Imatra
24429,1997,Inari
31661,1997,Ingå
12882,1997,Isojoki
20146,1997,Isokyrö
28229,1997,Janakkala
22632,1997,Joensuu
27651,1997,Jokioinen
39303,1997,Jomala
21926,1997,Joroinen
15474,1997,Joutsa
16593,1997,Juuka
20457,1997,Juupajoki
16954,1997,Juva
26967,1997,Jyväskylä
16719,1997,Jämijärvi
27912,1997,Jämsä
38283,1997,Järvenpää
36274,1997,Kaarina
15149,1997,Kaavi
26110,1997,Kajaani
22927,1997,Kalajoki
30676,1997,Kangasala
15842,1997,Kangasniemi
21986,1997,Kankaanpää
13112,1997,Kannonkoski
25515,1997,Kannus
15018,1997,Karijoki
25533,1997,Karkkila
19283,1997,Karstula
14319,1997,Karvia
37733,1997,Kaskinen
19469,1997,Kauhajoki
21609,1997,Kauhava
63600,1997,Kauniainen
23103,1997,Kaustinen
18099,1997,Keitele
24875,1997,Kemi
25223,1997,Kemijärvi
30736,1997,Keminmaa
21975,1997,Kimitoön
38800,1997,Kempele
39345,1997,Kerava
21748,1997,Keuruu
18532,1997,Kihniö
15582,1997,Kinnula
44289,1997,Kirkkonummi
19939,1997,Kitee
19444,1997,Kittilä
14744,1997,Kiuruvesi
13609,1997,Kivijärvi
22134,1997,Kokemäki
26883,1997,Kokkola
19414,1997,Kolari
17557,1997,Konnevesi
27130,1997,Kontiolahti
19444,1997,Korsnäs
18405,1997,Koski Tl
26561,1997,Kotka
27450,1997,Kouvola
22766,1997,Kristinestad
24328,1997,Kronoby
17581,1997,Kuhmo
14293,1997,Kuhmoinen
24612,1997,Kumlinge
24490,1997,Kuopio
18846,1997,Kuortane
20656,1997,Kurikka
18983,1997,Kustavi
22509,1997,Kuusamo
17485,1997,Kyyjärvi
24838,1997,Kärkölä
16925,1997,Kärsämäki
26581,1997,Kökar
24441,1997,Lahti
25924,1997,Laihia
23751,1997,Laitila
17552,1997,Lapinjärvi
17697,1997,Lapinlahti
18393,1997,Lappajärvi
26432,1997,Lappeenranta
23507,1997,Lapua
26894,1997,Laukaa
22777,1997,Lemi
42288,1997,Lemland
32181,1997,Lempäälä
20804,1997,Leppävirta
14999,1997,Lestijärvi
18694,1997,Lieksa
35048,1997,Lieto
29194,1997,Liminka
20102,1997,Liperi
31390,1997,Lohja
20252,1997,Loimaa
23414,1997,Loppi
24697,1997,Loviisa
13754,1997,Luhanka
19287,1997,Lumijoki
33958,1997,Lumparland
34492,1997,Larsmo
18748,1997,Luumäki
22017,1997,Malax
36071,1997,Mariehamn
19728,1997,Marttila
36809,1997,Masku
19271,1997,Merijärvi
18498,1997,Merikarvia
14540,1997,Miehikkälä
23354,1997,Mikkeli
26163,1997,Muhos
14772,1997,Multia
24584,1997,Muonio
33588,1997,Korsholm
33558,1997,Muurame
24797,1997,Mynämäki
18842,1997,Myrskylä
30097,1997,Mäntsälä
26005,1997,Mänttä-Vilppula
18066,1997,Mäntyharju
32910,1997,Naantali
27012,1997,Nakkila
21040,1997,Nivala
30108,1997,Nokia
31026,1997,Nousiainen
15484,1997,Nurmes
40686,1997,Nurmijärvi
20559,1997,Närpes
22418,1997,Orimattila
17842,1997,Oripää
20664,1997,Orivesi
24571,1997,Oulainen
30564,1997,Oulu
18007,1997,Outokumpu
19272,1997,Padasjoki
32779,1997,Paimio
17643,1997,Paltamo
29306,1997,Pargas
15587,1997,Parikkala
22388,1997,Parkano
28750,1997,Pedersöre
21673,1997,Pelkosenniemi
20082,1997,Pello
17703,1997,Perho
12049,1997,Pertunmaa
19593,1997,Petäjävesi
21169,1997,Pieksämäki
13570,1997,Pielavesi
30846,1997,Jakobstad
16061,1997,Pihtipudas
36314,1997,Pirkkala
13616,1997,Polvijärvi
19263,1997,Pomarkku
24234,1997,Pori
34712,1997,Pornainen
34989,1997,Porvoo
17489,1997,Posio
17802,1997,Pudasjärvi
19668,1997,Pukkila
15010,1997,Punkalaidun
16151,1997,Puolanka
14326,1997,Puumala
28522,1997,Pyhtää
26664,1997,Pyhäjoki
18736,1997,Pyhäjärvi
22274,1997,Pyhäntä
29221,1997,Pyhäranta
20807,1997,Pälkäne
21036,1997,Pöytyä
33673,1997,Raahe
26582,1997,Raseborg
32884,1997,Raisio
15737,1997,Rantasalmi
18017,1997,Ranua
27967,1997,Rauma
14766,1997,Rautalampi
12943,1997,Rautavaara
26550,1997,Rautjärvi
17072,1997,Reisjärvi
27765,1997,Riihimäki
13975,1997,Ristijärvi
25851,1997,Rovaniemi
25020,1997,Ruokolahti
20121,1997,Ruovesi
35715,1997,Rusko
12182,1997,Rääkkylä
19544,1997,Saarijärvi
17873,1997,Salla
27297,1997,Salo
31924,1997,Saltvik
21258,1997,Sastamala
21646,1997,Sauvo
18063,1997,Savitaipale
21855,1997,Savonlinna
18301,1997,Savukoski
27651,1997,Seinäjoki
21280,1997,Sievi
16272,1997,Siikainen
21685,1997,Siikajoki
18108,1997,Siikalatva
31359,1997,Siilinjärvi
25914,1997,Simo
40442,1997,Sipoo
38029,1997,Siuntio
22620,1997,Sodankylä
15514,1997,Soini
19231,1997,Somero
17487,1997,Sonkajärvi
22047,1997,Sotkamo
22330,1997,Sottunga
15851,1997,Sulkava
30733,1997,Sund
18115,1997,Suomussalmi
18167,1997,Suonenjoki
14003,1997,Sysmä
27305,1997,Säkylä
31264,1997,Taipalsaari
19218,1997,Taivalkoski
19551,1997,Taivassalo
23649,1997,Tammela
26693,1997,Tampere
14591,1997,Tervo
17358,1997,Tervola
19550,1997,Teuva
15480,1997,Tohmajärvi
19808,1997,Toholampi
19482,1997,Toivakka
28633,1997,Tornio
24861,1997,Turku
14175,1997,Tuusniemi
40528,1997,Tuusula
24144,1997,Tyrnävä
30435,1997,Ulvila
18652,1997,Urjala
17521,1997,Utajärvi
25237,1997,Utsjoki
20917,1997,Uurainen
23249,1997,Nykarleby
27977,1997,Uusikaupunki
17469,1997,Vaala
29279,1997,Vaasa
30496,1997,Valkeakoski
38861,1997,Vantaa
26027,1997,Varkaus
17795,1997,Vehmaa
14088,1997,Vesanto
23087,1997,Vesilahti
21093,1997,Veteli
16687,1997,Vieremä
36718,1997,Vihti
17812,1997,Viitasaari
21743,1997,Vimpeli
19785,1997,Virolahti
18436,1997,Virrat
28614,1997,Vårdö
21398,1997,Vörå
18085,1997,Ylitornio
26017,1997,Ylivieska
32344,1997,Ylöjärvi
19591,1997,Ypäjä
22825,1997,Ähtäri
26848,1997,Äänekoski
