municipality,year,Life_support,Pension benefits_excl_guaranteed_pension,Pension_support,Pensioner_housing_allowance,Special_care_allowance,School_travel_allowance,Rehabilitation,Rehabilitation_allowance,Child_benefit,Child_care_allowances,Special_support_for_immigrants,Student_loan_repayment,Student_loan_interest_subsidy,Student_loan_reduction,Study_support,Family_leave_allowance,Basic_income_support,Medical_benefits,Sickness_benefits,Military_allowance,Guaranteed_pension,Unemployment_insurance,Disability_benefits,Parental_allowance,Annual_holiday_expense_allowance,Temporary_power_support,General_housing_allowance,Maternity_allowance
Akaa,2008,0,0,0,0,11,374,264,199,1743,412,0,0,10,0,459,0,0,11054,1026,20,0,601,0,490,87,0,0,169
Akaa,2009,0,0,0,0,13,373,249,174,1761,416,0,0,9,4,504,0,0,11077,946,29,0,696,0,444,84,0,0,165
Akaa,2010,0,0,0,0,9,385,235,174,1766,429,0,0,4,8,455,0,0,11206,934,45,0,696,0,469,82,0,0,180
Akaa,2011,0,0,0,0,11,433,297,202,2049,500,0,0,4,5,531,0,0,13345,1116,32,0,841,0,535,81,0,0,179
Akaa,2012,0,0,0,0,16,420,308,206,2047,491,0,0,4,8,504,0,0,13357,1173,29,0,841,0,566,108,0,0,206
Akaa,2013,0,0,0,0,23,477,329,214,2044,500,0,0,4,8,497,0,0,13228,1181,24,0,893,0,545,131,0,0,185
Akaa,2014,0,0,0,0,17,461,355,214,2023,486,0,0,4,11,480,0,0,13300,1144,19,0,937,0,484,96,0,0,157
Akaa,2015,0,0,0,0,28,485,379,222,1984,447,0,0,4,9,438,0,0,13301,1060,15,0,951,0,482,84,0,0,166
Akaa,2016,0,0,0,0,22,460,359,192,1962,442,0,0,4,9,444,0,0,12110,1054,22,0,964,0,470,100,0,0,138
Akaa,2017,0,0,0,0,21,463,374,187,1952,396,0,0,4,12,397,22,0,11724,1017,17,0,971,0,428,86,0,0,113
Akaa,2018,230.4615385,1927.076923,10.83333333,519.6153846,7.111111111,210.8461538,200.3846154,89.69230769,1853.769231,217.5384615,0,7.333333333,4,4,228.5384615,11,370.7692308,5765.615385,290.8461538,6.230769231,233.9230769,573.5384615,800.6923077,119.5384615,11.30769231,0,553.3846154,15.54545455
Akaa,2019,211.6153846,1886.307692,9.461538462,518.0769231,5.25,206.4615385,207.8461538,93.69230769,1807.923077,186.1538462,0,10.5,4,4,244,10.625,355.4615385,5729.384615,274.1538462,9.384615385,235.2307692,538.4615385,781.5384615,126.8461538,12.5,0,531.9230769,19.23076923
Akaa,2020,229.3076923,1999.230769,13.53846154,519.6153846,7.333333333,186.9230769,227.4615385,104.3076923,1778.461538,180.2307692,0,12.33333333,4,4,258,10.88888889,403.0769231,5535.153846,260.8461538,11.15384615,291.1538462,612.8461538,827.8461538,140.6153846,13.2,0,552.6923077,19.23076923
Akaa,2021,220.6923077,1970.461538,9.923076923,535.5384615,12,225.6666667,261.6153846,126.3846154,1753.230769,169.3846154,0,8,4,4,249.8461538,12.25,370.6153846,5651.769231,283.9230769,12.53846154,299.2307692,591.7692308,824.3846154,151.0769231,13.83333333,0,549.7692308,19.23076923
Akaa,2022,216.5384615,1940.153846,4.888888889,547.4615385,10.5,266.6923077,274.6923077,133.8461538,1723,178.9230769,0,13,4,4,233.1538462,11.25,342.1538462,5885,396.7692308,13.76923077,310,504.5384615,844.2307692,130,13.46153846,0,528.3846154,17.58333333
Akaa,2023,224.4615385,1902,4.888888889,536.6153846,16,332.3846154,301.1538462,141.6153846,1701.923077,157.9230769,0,12.33333333,7.666666667,4,238.4615385,10.55555556,334.8461538,5939,303.3846154,14.92307692,308.7692308,477.1538462,871.4615385,135,14.76923077,9,537.6923077,16.38461538
Akaa,2024,216.375,1868.75,4.888888889,565.5,4,315.4285714,274.5,91.75,1671.875,133.875,0,5,7.666666667,4,211.625,4.833333333,326.375,5191.875,187.25,14,301,469.5,858.5,133.125,7.75,9,630.75,9.875
Alajärvi,2008,216.375,0,0,0,20,198,143,93,931,211,0,5,7.666666667,4,480,4.833333333,326.375,6795,529,14,301,335,0,293,19,9,0,116
Alajärvi,2009,0,0,0,0,13,266,167,83,1095,283,0,5,7.666666667,4,550,4.833333333,326.375,8086,567,13,301,447,0,310,39,9,0,119
Alajärvi,2010,0,0,0,0,16,282,176,95,1091,269,0,5,7.666666667,4,479,4.833333333,326.375,8038,596,6,301,394,0,319,35,9,0,129
Alajärvi,2011,0,0,0,0,12,259,176,121,1052,270,0,5,7.666666667,4,443,4.833333333,326.375,8063,593,9,0,408,0,326,28,9,0,116
Alajärvi,2012,0,0,0,0,16,231,175,110,1021,265,0,5,7.666666667,5,425,4.833333333,326.375,7905,572,8,0,436,0,296,28,9,0,109
Alajärvi,2013,0,0,0,0,20,238,197,121,1030,270,0,5,7.666666667,5,394,4.833333333,326.375,7891,556,9,0,420,0,283,30,9,0,97
Alajärvi,2014,0,0,0,0,12,239,213,116,1010,262,0,5,7.666666667,4,367,4.833333333,326.375,7796,572,5,0,449,0,263,18,9,0,97
Alajärvi,2015,0,0,0,0,23,231,195,103,975,266,0,5,7.666666667,4,373,4.833333333,326.375,7625,516,11,0,434,0,270,37,9,0,108
Alajärvi,2016,0,0,0,0,17,237,183,105,967,233,0,5,7.666666667,4,350,4.833333333,326.375,7017,537,10,0,452,0,270,38,9,0,84
Alajärvi,2017,0,0,0,0,13,249,169,75,943,226,0,5,7.666666667,5,317,8,0,6995,524,10,0,444,0,250,25,9,0,89
Alajärvi,2018,106.3846154,1934.461538,0,361.5384615,14,101.25,84.69230769,22.61538462,889.6923077,147,0,5,7.666666667,5,170.5384615,10,90.53846154,3524.538462,135.0769231,7.230769231,260.6153846,242.0769231,668.2307692,97,10,9,194.1538462,13.53846154
Alajärvi,2019,105.6153846,1868.769231,0,358.6923077,9,93.25,89.46153846,32,864.7692308,135.6923077,0,6,7.666666667,5,171.1538462,16.5,90.38461538,3465.692308,140.3076923,6,260.3846154,233.6153846,642.0769231,91.76923077,15.66666667,9,180.6923077,13.36363636
Alajärvi,2020,114.3076923,1973.384615,0,351,8,72.90909091,88.92307692,31.23076923,834.0769231,124,0,6,7.666666667,5,164.0769231,11,118.8461538,3333.538462,145.2307692,4,306.0769231,313.3076923,686.1538462,84.46153846,11.16666667,9,199.4615385,12.92307692
Alajärvi,2021,107,1942.076923,0,341.0769231,4,68.83333333,108,44.38461538,816.2307692,107.3076923,0,12,7.666666667,5,150.1538462,11.5,117,3274.846154,165.8461538,4,317.1538462,289.2307692,667.8461538,77.61538462,16,9,207.5384615,13.42857143
Alajärvi,2022,102.7692308,1894.307692,0,336.3846154,10,65.07692308,115.1538462,45.84615385,801.3076923,101.3076923,0,12,7.666666667,5,137.6153846,13.33333333,115.5384615,3354.615385,305.9230769,6,316.7692308,198.9230769,647.3846154,68.46153846,11.66666667,9,182.3076923,12.6
Alajärvi,2023,103.8461538,1853,0,314.3076923,10,95.15384615,120.5384615,57.15384615,795.9230769,98.61538462,0,7.666666667,4.5,5,127.6923077,14.33333333,103.7692308,3367,174.1538462,4,308.5384615,180.2307692,627.3076923,76.61538462,12.75,4,192.8461538,11.9
Alajärvi,2024,97.25,1841.25,0,332.25,10,90.14285714,103.75,43,787.625,78.375,0,6,4,5,103.875,4,104.875,2989.875,100.875,5.4,299.25,167.5,625.875,77.5,4,4,230,7.2
Alavieska,2008,97.25,0,0,0,10,130,54,37,317,79,0,6,4,5,146,4,104.875,1882,173,4,299.25,84,0,104,14,4,0,40
Alavieska,2009,0,0,0,0,6,130,49,34,309,82,0,6,4,5,144,4,104.875,1890,162,7,299.25,111,0,91,14,4,0,38
Alavieska,2010,0,0,0,0,6,140,35,21,311,92,0,6,4,5,150,4,104.875,1921,149,7,299.25,122,0,106,14,4,0,34
Alavieska,2011,0,0,0,0,5,149,42,26,304,79,0,6,4,5,146,4,104.875,1922,153,4,0,112,0,88,9,4,0,28
Alavieska,2012,0,0,0,0,8,147,52,26,296,83,0,6,4,5,144,4,104.875,1948,174,4,0,122,0,94,13,4,0,38
Alavieska,2013,0,0,0,0,7,148,51,24,294,70,0,6,4,5,140,4,104.875,1928,144,4,0,128,0,94,9,4,0,31
Alavieska,2014,0,0,0,0,11,144,53,20,287,69,0,6,4,5,137,4,104.875,1819,140,4,0,125,0,94,10,4,0,40
Alavieska,2015,0,0,0,0,7,123,52,25,294,73,0,6,4,5,126,4,104.875,1850,151,4,0,123,0,108,16,4,0,33
Alavieska,2016,0,0,0,0,6,115,54,26,286,77,0,6,4,5,118,4,104.875,1649,154,4,0,116,0,73,11,4,0,21
Alavieska,2017,0,0,0,0,10,133,51,14,277,58,0,6,4,5,104,4,0,1577,126,4,0,110,0,61,8,4,0,23
Alavieska,2018,23.92307692,441.6923077,0,105.3076923,10,54.33333333,23.38461538,6.222222222,261.3846154,28,0,4,4,5,55.76923077,5,21.61538462,777.4615385,30.92307692,4,70.84615385,59.30769231,195.0769231,30.69230769,7,4,60.30769231,10.25
Alavieska,2019,18.92307692,431,0,100.7692308,10,56.41666667,24.61538462,6,248.3846154,30.84615385,0,4,4,5,50.53846154,9,22.61538462,771.7692308,39.76923077,4,68.61538462,51.30769231,191.8461538,25.69230769,11,4,56.38461538,21
Alavieska,2020,22.61538462,453.3846154,0,91.76923077,10,48.27272727,27.61538462,5.777777778,249.0769231,30.30769231,0,4,4,5,51.38461538,5,26.69230769,761.3846154,31.53846154,4,76.15384615,57.46153846,200.3846154,22.07692308,6,4,55.84615385,13
Alavieska,2021,23.61538462,438.9230769,0,87,10,41.83333333,34.92307692,7.454545455,241.7692308,26.15384615,0,4,4,5,43.38461538,8,19.92307692,769.6923077,41.38461538,4,77.07692308,54.30769231,200.4615385,23.92307692,12,4,53.38461538,15
Alavieska,2022,21.61538462,422.6153846,0,86.76923077,4,51.09090909,42.69230769,11.15384615,240.3846154,24.46153846,0,4,4,5,37.76923077,8,21.15384615,780.1538462,60.92307692,4,70.46153846,52.15384615,188.9230769,20,7,4,49.07692308,11
Alavieska,2023,20.61538462,413.5384615,0,78.07692308,8,54.66666667,42.23076923,8.692307692,241.8461538,20,0,4,4,5,42,11,24.46153846,796.1538462,42.69230769,4,63.38461538,54.53846154,178.9230769,25.38461538,5,4,57.30769231,12.5
Alavieska,2024,21.875,396.125,0,73.125,8,47.85714286,31.75,7,236.875,22.375,0,4,4,5,37.14285714,11,29.625,696,32.75,4,60.5,47.625,167.375,24.125,5,4,73.375,4
Alavus,2008,21.875,0,0,0,16,255,165,131,970,258,0,4,8,5,536,11,29.625,7048,558,17,60.5,336,0,251,35,4,0,100
Alavus,2009,0,0,0,0,13,243,143,112,968,248,0,4,8,5,496,11,29.625,7045,526,13,60.5,375,0,267,47,4,0,102
Alavus,2010,0,0,0,0,9,248,138,93,949,240,0,4,6,5,469,11,29.625,7085,574,14,60.5,382,0,254,42,4,0,84
Alavus,2011,0,0,0,0,16,233,129,78,930,223,0,4,4,7,453,11,29.625,7025,579,17,0,363,0,247,38,4,0,107
Alavus,2012,0,0,0,0,9,240,135,85,928,223,0,4,4,4,442,11,29.625,6979,542,14,0,366,0,260,43,4,0,85
Alavus,2013,0,0,0,0,17,332,206,124,1263,304,0,4,4,5,570,11,29.625,9058,773,17,0,544,0,334,58,4,0,117
Alavus,2014,0,0,0,0,15,351,207,124,1232,302,0,4,4,4,567,11,29.625,8882,699,21,0,515,0,340,49,4,0,130
Alavus,2015,0,0,0,0,13,333,190,88,1224,292,0,4,4,7,543,11,29.625,8840,693,20,0,553,0,367,61,4,0,110
Alavus,2016,0,0,0,0,14,351,195,102,1187,288,0,4,4,6,540,11,29.625,7988,610,6,0,569,0,300,42,4,0,120
Alavus,2017,0,0,0,0,14,345,171,69,1132,269,0,4,4,11,475,11,0,7638,635,12,0,561,0,323,49,4,0,96
Alavus,2018,129.6923077,2151.384615,4.583333333,479.5384615,9,153.3333333,96.84615385,30.53846154,1066.615385,160.2307692,0,8.5,4,11,266.5384615,15,160.5384615,3795.846154,162.9230769,5.75,275.4615385,322,739,105.2307692,10.71428571,4,327.6153846,16.81818182
Alavus,2019,144.5384615,2091.769231,5.461538462,490.2307692,7.666666667,128.8333333,102.9230769,42.46153846,1038.384615,141.4615385,0,6.5,4,11,262.0769231,21,150,3811.384615,155.3846154,5.3,283.6923077,300.2307692,723.1538462,104.9230769,13.33333333,4,312.0769231,14.92307692
Alavus,2020,171,2244.230769,9,501.4615385,12,121.4545455,105.1538462,44.07692308,1026.538462,133.5384615,0,6.5,4,11,260.4615385,11,176.0769231,3675.384615,155.7692308,5.583333333,346.4615385,348.2307692,794.9230769,116,17.5,4,312,18.5
Alavus,2021,174.1538462,2209,7.076923077,478.5384615,6.5,111.2307692,105.3076923,35.76923077,1012.538462,126.7692308,0,6.333333333,4,11,260.7692308,11,155.7692308,3675.461538,186.2307692,5,347.3846154,301.6153846,788.1538462,109,11.625,4,311.7692308,16.2
Alavus,2022,163.9230769,2140.538462,4.75,455.5384615,10,124.8461538,124,36.46153846,997.0769231,126.5384615,0,7.666666667,4,11,251,13.5,146.1538462,3758.769231,277.3846154,6.692307692,341.2307692,246.6153846,760.5384615,90.61538462,11.33333333,4,295.3846154,12.92307692
Alavus,2023,156.3846154,2058.538462,4.75,433.1538462,11,154.75,136.3076923,48.07692308,970.8461538,108.6153846,0,10.66666667,4,11,234.1538462,11.5,144.1538462,3719.153846,167.5384615,8.230769231,329.8461538,261.7692308,736.3846154,90.23076923,9.888888889,4,309.5384615,10.9
Alavus,2024,147,1981.875,4.75,451.625,11,134.4285714,121.75,39.5,946,103.625,0,4,4,11,186.875,6,126.5,3262.75,125.625,5,316.5,258,701.5,70.25,5.2,4,351.875,6.571428571
Asikkala,2008,147,0,0,0,7,224,108,72,872,169,0,4,4,11,326,6,126.5,6455,460,5,316.5,301,0,183,37,4,0,70
Asikkala,2009,0,0,0,0,12,197,98,74,857,155,0,4,4,6,317,6,126.5,6508,481,8,316.5,332,0,178,22,4,0,63
Asikkala,2010,0,0,0,0,5,222,80,48,857,200,0,4,4,6,292,6,126.5,6565,450,12,316.5,335,0,188,42,4,0,62
Asikkala,2011,0,0,0,0,8,201,93,62,826,195,0,4,4,6,279,6,126.5,6571,482,5,0,316,0,165,26,4,0,56
Asikkala,2012,0,0,0,0,10,219,102,59,825,194,0,4,4,6,291,6,126.5,6487,492,6,0,311,0,186,37,4,0,64
Asikkala,2013,0,0,0,0,4,212,110,67,801,197,0,4,4,6,267,6,126.5,6452,455,11,0,339,0,180,39,4,0,74
Asikkala,2014,0,0,0,0,8,204,97,62,791,215,0,4,4,6,264,6,126.5,6485,450,5,0,391,0,179,36,4,0,53
Asikkala,2015,0,0,0,0,10,209,91,57,763,171,0,4,4,7,271,6,126.5,6467,450,7,0,381,0,172,38,4,0,58
Asikkala,2016,0,0,0,0,10,193,85,42,762,178,0,4,4,6,286,6,126.5,5795,407,4,0,345,0,167,27,4,0,50
