Variable,Municipality,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
"Entitled to special refunds on medicines for psychosis, as % of total population",Akaa,1.2,1.2,1.3,1.4,1.4,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.6,1.5,1.5,1.5,1.5,1.6,1.5,1.6,1.6,1.5,1.5,1.4
"Entitled to special refunds on medicines for psychosis, as % of total population",Alajärvi,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.5,2.5,2.5,2.5,2.5,2.4,2.4,2.4,2.4,2.3,2.3,2.3,2.5,2.2,2.2,2.1,2.1
"Entitled to special refunds on medicines for psychosis, as % of total population",Alavieska,1.8,1.9,1.9,1.9,2.0,2.3,2.5,2.5,2.5,2.5,2.4,2.4,2.2,2.2,2.2,2.1,2.4,2.2,2.3,2.3,2.1,2.1,2.1,1.9
"Entitled to special refunds on medicines for psychosis, as % of total population",Alavus,2.0,2.0,2.0,2.0,2.1,2.1,2.0,2.1,2.0,2.1,2.2,2.1,2.2,2.1,2.1,2.1,2.0,2.1,2.0,2.2,2.0,2.0,1.9,1.9
"Entitled to special refunds on medicines for psychosis, as % of total population",Asikkala,1.4,1.4,1.4,1.4,1.5,1.7,1.7,1.6,1.6,1.5,1.6,1.6,1.7,1.7,1.7,1.8,1.8,1.8,1.8,1.8,1.7,1.6,1.5,1.5
"Entitled to special refunds on medicines for psychosis, as % of total population",Askola,1.1,1.1,1.2,1.1,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.1,1.0,1.0,1.0,1.1,1.0,0.9,0.9,0.8
"Entitled to special refunds on medicines for psychosis, as % of total population",Aura,1.5,1.5,1.4,1.5,1.6,1.5,1.4,1.5,1.4,1.5,1.4,1.3,1.3,1.3,1.4,1.5,1.5,1.4,1.4,1.5,1.4,1.5,1.5,1.5
"Entitled to special refunds on medicines for psychosis, as % of total population",Brändö,1.4,1.6,1.6,1.3,1.6,1.7,1.5,1.4,1.4,1.6,1.7,1.7,1.5,1.7,1.7,1.3,1.7,1.8,1.3,1.4,1.3,1.3,1.3,0.9
"Entitled to special refunds on medicines for psychosis, as % of total population",Eckerö,0.7,0.7,0.8,0.8,0.8,1.0,0.8,0.8,0.9,1.0,1.0,0.9,1.0,0.8,0.9,0.9,0.9,0.8,0.8,1.0,0.7,0.8,0.6,0.6
"Entitled to special refunds on medicines for psychosis, as % of total population",Enonkoski,2.5,2.3,2.2,2.2,2.2,2.2,2.2,2.1,2.0,2.0,2.2,1.9,1.9,1.6,1.7,1.5,1.7,1.6,1.6,1.8,1.7,1.5,1.3,1.4
"Entitled to special refunds on medicines for psychosis, as % of total population",Enontekiö,1.8,1.8,1.7,1.8,1.9,1.9,1.9,1.8,1.9,2.0,1.9,1.9,2.0,2.0,2.0,1.9,2.0,1.9,2.0,2.0,1.8,1.7,1.6,1.4
"Entitled to special refunds on medicines for psychosis, as % of total population",Espoo,0.8,0.8,0.9,1.0,1.0,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.2,1.2,1.1,1.1
"Entitled to special refunds on medicines for psychosis, as % of total population",Eura,1.7,1.6,1.6,1.6,1.6,1.7,1.7,1.7,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.7,1.6,1.6,1.6,1.7,1.5,1.5,1.5,1.5
"Entitled to special refunds on medicines for psychosis, as % of total population",Eurajoki,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.2,1.3,1.3,1.2,1.2,1.2,1.1,1.1,1.1,1.2,1.3,1.2,1.2,1.2,1.2
