year,municipality,type_of_debt,mean_debt_euro
2002,Espoo,Study loans,1091
2002,Helsinki,Study loans,1320
2002,Hyvinkää,Study loans,725
2002,Järvenpää,Study loans,874
2002,Karkkila,Study loans,410
2002,Kauniainen,Study loans,868
2002,Kerava,Study loans,731
2002,Kirkkonummi,Study loans,808
2002,Lohja,Study loans,554
2002,Mäntsälä,Study loans,520
2002,Nurmijärvi,Study loans,600
2002,Pornainen,Study loans,542
2002,Sipoo,Study loans,564
2002,Siuntio,Study loans,682
2002,Tuusula,Study loans,670
2002,Vantaa,Study loans,838
2002,Vihti,Study loans,675
2002,Lapinjärvi,Study loans,398
2002,Loviisa,Study loans,460
2002,Askola,Study loans,469
2002,Myrskylä,Study loans,438
2002,Porvoo,Study loans,746
2002,Pukkila,Study loans,372
2002,Hanko,Study loans,412
2002,Inkoo,Study loans,531
2002,Raasepori,Study loans,505
2002,Aura,Study loans,495
2002,Koski Tl,Study loans,256
2002,Loimaa,Study loans,411
2002,Marttila,Study loans,316
2002,Oripää,Study loans,299
2002,Pöytyä,Study loans,359
2002,Salo,Study loans,529
2002,Somero,Study loans,379
2002,Kaarina,Study loans,679
2002,Lieto,Study loans,610
2002,Masku,Study loans,538
2002,Mynämäki,Study loans,392
2002,Naantali,Study loans,543
2002,Nousiainen,Study loans,340
2002,Paimio,Study loans,588
2002,Raisio,Study loans,515
2002,Rusko,Study loans,372
2002,Sauvo,Study loans,380
2002,Turku,Study loans,1182
2002,Kustavi,Study loans,233
2002,Laitila,Study loans,344
2002,Pyhäranta,Study loans,211
2002,Taivassalo,Study loans,194
2002,Uusikaupunki,Study loans,412
2002,Vehmaa,Study loans,267
2002,Kemiönsaari,Study loans,410
2002,Parainen,Study loans,556
2002,Forssa,Study loans,509
2002,Humppila,Study loans,306
2002,Jokioinen,Study loans,525
2002,Tammela,Study loans,447
2002,Ypäjä,Study loans,398
2002,Hattula,Study loans,544
2002,Hämeenlinna,Study loans,784
2002,Janakkala,Study loans,532
2002,Hausjärvi,Study loans,518
2002,Loppi,Study loans,434
2002,Riihimäki,Study loans,677
2002,Asikkala,Study loans,423
2002,Hartola,Study loans,356
2002,Heinola,Study loans,463
2002,Hollola,Study loans,602
2002,Kärkölä,Study loans,376
2002,Lahti,Study loans,848
2002,Orimattila,Study loans,450
2002,Padasjoki,Study loans,330
2002,Sysmä,Study loans,259
2002,Hamina,Study loans,441
2002,Kotka,Study loans,679
2002,Miehikkälä,Study loans,281
2002,Pyhtää,Study loans,392
2002,Virolahti,Study loans,322
2002,Iitti,Study loans,493
2002,Kouvola,Study loans,574
2002,Imatra,Study loans,643
2002,Parikkala,Study loans,308
2002,Rautjärvi,Study loans,319
2002,Ruokolahti,Study loans,427
2002,Lappeenranta,Study loans,851
2002,Lemi,Study loans,452
2002,Luumäki,Study loans,362
2002,Savitaipale,Study loans,403
2002,Taipalsaari,Study loans,555
2002,Jämijärvi,Study loans,391
2002,Kankaanpää,Study loans,636
2002,Karvia,Study loans,227
2002,Siikainen,Study loans,301
2002,Harjavalta,Study loans,550
2002,Huittinen,Study loans,480
2002,Kokemäki,Study loans,466
2002,Merikarvia,Study loans,314
2002,Nakkila,Study loans,553
2002,Pomarkku,Study loans,355
2002,Pori,Study loans,720
2002,Ulvila,Study loans,573
2002,Eura,Study loans,356
2002,Eurajoki,Study loans,410
2002,Rauma,Study loans,642
2002,Säkylä,Study loans,451
2002,Akaa,Study loans,555
2002,Urjala,Study loans,401
2002,Valkeakoski,Study loans,582
2002,Punkalaidun,Study loans,309
2002,Sastamala,Study loans,455
2002,Ikaalinen,Study loans,562
2002,Kihniö,Study loans,398
2002,Parkano,Study loans,330
2002,Hämeenkyrö,Study loans,469
2002,Kangasala,Study loans,654
2002,Lempäälä,Study loans,704
2002,Nokia,Study loans,559
2002,Orivesi,Study loans,509
2002,Pirkkala,Study loans,765
2002,Pälkäne,Study loans,391
2002,Tampere,Study loans,1252
2002,Vesilahti,Study loans,508
2002,Ylöjärvi,Study loans,550
2002,Juupajoki,Study loans,287
2002,Mänttä-Vilppula,Study loans,441
2002,Ruovesi,Study loans,357
2002,Virrat,Study loans,542
2002,Joutsa,Study loans,376
2002,Luhanka,Study loans,206
2002,Hankasalmi,Study loans,489
2002,Jyväskylä,Study loans,1469
2002,Laukaa,Study loans,642
2002,Muurame,Study loans,1093
2002,Petäjävesi,Study loans,413
2002,Toivakka,Study loans,366
2002,Uurainen,Study loans,507
2002,Jämsä,Study loans,546
2002,Kuhmoinen,Study loans,293
2002,Keuruu,Study loans,577
2002,Multia,Study loans,350
2002,Kannonkoski,Study loans,313
2002,Karstula,Study loans,393
2002,Kinnula,Study loans,641
2002,Kivijärvi,Study loans,203
2002,Kyyjärvi,Study loans,317
2002,Pihtipudas,Study loans,375
2002,Saarijärvi,Study loans,455
2002,Viitasaari,Study loans,498
2002,Konnevesi,Study loans,511
2002,Äänekoski,Study loans,605
2002,Alajärvi,Study loans,388
2002,Evijärvi,Study loans,515
2002,Lappajärvi,Study loans,289
2002,Soini,Study loans,296
2002,Vimpeli,Study loans,510
2002,Alavus,Study loans,458
2002,Kuortane,Study loans,372
2002,Ähtäri,Study loans,497
2002,Ilmajoki,Study loans,614
2002,Kauhava,Study loans,499
2002,Kurikka,Study loans,548
2002,Lapua,Study loans,542
2002,Seinäjoki,Study loans,886
2002,Isojoki,Study loans,259
2002,Karijoki,Study loans,217
2002,Kauhajoki,Study loans,541
2002,Teuva,Study loans,370
2002,Kruunupyy,Study loans,635
2002,Luoto,Study loans,574
2002,Pedersören kunta,Study loans,396
2002,Pietarsaari,Study loans,597
2002,Uusikaarlepyy,Study loans,475
2002,Isokyrö,Study loans,459
2002,Laihia,Study loans,616
2002,Kaskinen,Study loans,385
2002,Kristiinankaupunki,Study loans,513
2002,Närpiö,Study loans,441
2002,Korsnäs,Study loans,416
2002,Maalahti,Study loans,562
2002,Mustasaari,Study loans,707
2002,Vaasa,Study loans,1142
2002,Vöyri,Study loans,499
2002,Hirvensalmi,Study loans,308
2002,Kangasniemi,Study loans,471
2002,Mikkeli,Study loans,916
2002,Mäntyharju,Study loans,386
2002,Pertunmaa,Study loans,349
2002,Puumala,Study loans,324
2002,Joroinen,Study loans,623
2002,Juva,Study loans,508
2002,Pieksämäki,Study loans,633
2002,Enonkoski,Study loans,466
2002,Heinävesi,Study loans,378
2002,Rantasalmi,Study loans,503
2002,Savonlinna,Study loans,797
2002,Sulkava,Study loans,345
2002,Kaavi,Study loans,435
2002,Rautavaara,Study loans,383
2002,Tuusniemi,Study loans,311
2002,Kuopio,Study loans,1191
2002,Siilinjärvi,Study loans,806
2002,Rautalampi,Study loans,477
2002,Suonenjoki,Study loans,711
2002,Tervo,Study loans,402
2002,Vesanto,Study loans,420
2002,Leppävirta,Study loans,564
2002,Varkaus,Study loans,752
2002,Iisalmi,Study loans,835
2002,Keitele,Study loans,496
2002,Kiuruvesi,Study loans,572
2002,Lapinlahti,Study loans,561
2002,Pielavesi,Study loans,361
2002,Sonkajärvi,Study loans,375
2002,Vieremä,Study loans,463
2002,Ilomantsi,Study loans,355
2002,Joensuu,Study loans,1233
2002,Juuka,Study loans,341
2002,Kontiolahti,Study loans,798
2002,Liperi,Study loans,619
2002,Outokumpu,Study loans,606
2002,Polvijärvi,Study loans,433
2002,Kitee,Study loans,389
2002,Rääkkylä,Study loans,315
2002,Tohmajärvi,Study loans,396
2002,Lieksa,Study loans,382
2002,Nurmes,Study loans,437
2002,Halsua,Study loans,420
2002,Kaustinen,Study loans,670
2002,Lestijärvi,Study loans,475
2002,Perho,Study loans,457
2002,Toholampi,Study loans,572
2002,Veteli,Study loans,457
2002,Kannus,Study loans,584
2002,Kokkola,Study loans,901
2002,Haapavesi,Study loans,629
2002,Pyhäntä,Study loans,714
2002,Siikalatva,Study loans,486
2002,Kuusamo,Study loans,653
2002,Taivalkoski,Study loans,528
2002,Haapajärvi,Study loans,618
2002,Kärsämäki,Study loans,491
2002,Nivala,Study loans,572
2002,Pyhäjärvi,Study loans,498
2002,Reisjärvi,Study loans,449
2002,Hailuoto,Study loans,555
2002,Kempele,Study loans,1055
2002,Liminka,Study loans,908
2002,Lumijoki,Study loans,528
