year,municipality,type_of_debt,mean_debt_euro
2002,Espoo,Debts total,40571
2002,Helsinki,Debts total,25346
2002,Hyvinkää,Debts total,30275
2002,Järvenpää,Debts total,37627
2002,Karkkila,Debts total,27165
2002,Kauniainen,Debts total,57663
2002,Kerava,Debts total,30824
2002,Kirkkonummi,Debts total,47512
2002,Lohja,Debts total,31834
2002,Mäntsälä,Debts total,40560
2002,Nurmijärvi,Debts total,47563
2002,Pornainen,Debts total,52922
2002,Sipoo,Debts total,44840
2002,Siuntio,Debts total,52948
2002,Tuusula,Debts total,45884
2002,Vantaa,Debts total,30908
2002,Vihti,Debts total,44668
2002,Lapinjärvi,Debts total,31600
2002,Loviisa,Debts total,25583
2002,Askola,Debts total,45395
2002,Myrskylä,Debts total,28267
2002,Porvoo,Debts total,35187
2002,Pukkila,Debts total,40404
2002,Hanko,Debts total,25024
2002,Inkoo,Debts total,41551
2002,Raasepori,Debts total,27474
2002,Aura,Debts total,42334
2002,Koski Tl,Debts total,34077
2002,Loimaa,Debts total,30712
2002,Marttila,Debts total,39429
2002,Oripää,Debts total,40022
2002,Pöytyä,Debts total,35377
2002,Salo,Debts total,32502
2002,Somero,Debts total,34892
2002,Kaarina,Debts total,40101
2002,Lieto,Debts total,43791
2002,Masku,Debts total,50201
2002,Mynämäki,Debts total,41272
2002,Naantali,Debts total,40896
2002,Nousiainen,Debts total,46533
2002,Paimio,Debts total,38596
2002,Raisio,Debts total,32620
2002,Rusko,Debts total,53642
2002,Sauvo,Debts total,42793
2002,Turku,Debts total,20853
2002,Kustavi,Debts total,28762
2002,Laitila,Debts total,32462
2002,Pyhäranta,Debts total,29243
2002,Taivassalo,Debts total,36101
2002,Uusikaupunki,Debts total,24465
2002,Vehmaa,Debts total,43741
2002,Kemiönsaari,Debts total,26280
2002,Parainen,Debts total,32508
2002,Forssa,Debts total,22589
2002,Humppila,Debts total,32191
2002,Jokioinen,Debts total,33546
2002,Tammela,Debts total,30963
2002,Ypäjä,Debts total,34486
2002,Hattula,Debts total,35950
2002,Hämeenlinna,Debts total,28036
2002,Janakkala,Debts total,32477
2002,Hausjärvi,Debts total,46791
2002,Loppi,Debts total,34366
2002,Riihimäki,Debts total,25231
2002,Asikkala,Debts total,28490
2002,Hartola,Debts total,23594
2002,Heinola,Debts total,21045
2002,Hollola,Debts total,34644
2002,Kärkölä,Debts total,29167
2002,Lahti,Debts total,23562
2002,Orimattila,Debts total,28893
2002,Padasjoki,Debts total,24104
2002,Sysmä,Debts total,25862
2002,Hamina,Debts total,24588
2002,Kotka,Debts total,21642
2002,Miehikkälä,Debts total,22315
2002,Pyhtää,Debts total,27976
2002,Virolahti,Debts total,20985
2002,Iitti,Debts total,24338
2002,Kouvola,Debts total,22129
2002,Imatra,Debts total,22154
2002,Parikkala,Debts total,20180
2002,Rautjärvi,Debts total,20535
2002,Ruokolahti,Debts total,25063
2002,Lappeenranta,Debts total,24536
2002,Lemi,Debts total,35649
2002,Luumäki,Debts total,22355
2002,Savitaipale,Debts total,20182
2002,Taipalsaari,Debts total,42489
2002,Jämijärvi,Debts total,29178
2002,Kankaanpää,Debts total,26842
2002,Karvia,Debts total,28782
2002,Siikainen,Debts total,23048
2002,Harjavalta,Debts total,21747
2002,Huittinen,Debts total,32571
2002,Kokemäki,Debts total,24118
2002,Merikarvia,Debts total,21205
2002,Nakkila,Debts total,29674
2002,Pomarkku,Debts total,22973
2002,Pori,Debts total,24631
2002,Ulvila,Debts total,30924
2002,Eura,Debts total,26113
2002,Eurajoki,Debts total,33826
2002,Rauma,Debts total,25542
2002,Säkylä,Debts total,30866
2002,Akaa,Debts total,28474
2002,Urjala,Debts total,23309
2002,Valkeakoski,Debts total,23724
2002,Punkalaidun,Debts total,27559
2002,Sastamala,Debts total,26867
2002,Ikaalinen,Debts total,25280
2002,Kihniö,Debts total,23647
2002,Parkano,Debts total,22000
2002,Hämeenkyrö,Debts total,27014
2002,Kangasala,Debts total,35819
2002,Lempäälä,Debts total,39151
2002,Nokia,Debts total,31757
2002,Orivesi,Debts total,27959
2002,Pirkkala,Debts total,41989
2002,Pälkäne,Debts total,32235
2002,Tampere,Debts total,23098
2002,Vesilahti,Debts total,40782
2002,Ylöjärvi,Debts total,37175
2002,Juupajoki,Debts total,24951
2002,Mänttä-Vilppula,Debts total,22628
2002,Ruovesi,Debts total,21876
2002,Virrat,Debts total,22921
2002,Joutsa,Debts total,25320
2002,Luhanka,Debts total,20366
2002,Hankasalmi,Debts total,25147
2002,Jyväskylä,Debts total,25854
2002,Laukaa,Debts total,34911
2002,Muurame,Debts total,40306
2002,Petäjävesi,Debts total,23942
2002,Toivakka,Debts total,26603
2002,Uurainen,Debts total,32489
2002,Jämsä,Debts total,24684
2002,Kuhmoinen,Debts total,19859
2002,Keuruu,Debts total,22196
2002,Multia,Debts total,20055
2002,Kannonkoski,Debts total,22535
2002,Karstula,Debts total,22750
2002,Kinnula,Debts total,24936
2002,Kivijärvi,Debts total,18974
2002,Kyyjärvi,Debts total,21231
2002,Pihtipudas,Debts total,25121
2002,Saarijärvi,Debts total,24508
2002,Viitasaari,Debts total,20827
2002,Konnevesi,Debts total,28939
2002,Äänekoski,Debts total,25596
2002,Alajärvi,Debts total,25890
2002,Evijärvi,Debts total,35109
2002,Lappajärvi,Debts total,21747
2002,Soini,Debts total,22455
2002,Vimpeli,Debts total,26806
2002,Alavus,Debts total,25299
2002,Kuortane,Debts total,23745
2002,Ähtäri,Debts total,23287
2002,Ilmajoki,Debts total,36542
2002,Kauhava,Debts total,29655
2002,Kurikka,Debts total,29224
2002,Lapua,Debts total,32371
2002,Seinäjoki,Debts total,33929
2002,Isojoki,Debts total,26005
2002,Karijoki,Debts total,29959
2002,Kauhajoki,Debts total,31557
2002,Teuva,Debts total,27148
2002,Kruunupyy,Debts total,38839
2002,Luoto,Debts total,46672
2002,Pedersören kunta,Debts total,42668
2002,Pietarsaari,Debts total,31894
2002,Uusikaarlepyy,Debts total,32981
2002,Isokyrö,Debts total,32189
2002,Laihia,Debts total,34669
2002,Kaskinen,Debts total,22846
2002,Kristiinankaupunki,Debts total,30402
2002,Närpiö,Debts total,37035
2002,Korsnäs,Debts total,29906
2002,Maalahti,Debts total,36836
2002,Mustasaari,Debts total,43874
2002,Vaasa,Debts total,28355
2002,Vöyri,Debts total,39184
2002,Hirvensalmi,Debts total,22373
2002,Kangasniemi,Debts total,20731
2002,Mikkeli,Debts total,26714
2002,Mäntyharju,Debts total,19716
2002,Pertunmaa,Debts total,20332
2002,Puumala,Debts total,25796
2002,Joroinen,Debts total,26281
2002,Juva,Debts total,29562
2002,Pieksämäki,Debts total,19819
2002,Enonkoski,Debts total,25510
2002,Heinävesi,Debts total,17135
2002,Rantasalmi,Debts total,32806
2002,Savonlinna,Debts total,22648
2002,Sulkava,Debts total,21862
2002,Kaavi,Debts total,15978
2002,Rautavaara,Debts total,14853
2002,Tuusniemi,Debts total,19066
2002,Kuopio,Debts total,24760
2002,Siilinjärvi,Debts total,36042
2002,Rautalampi,Debts total,19575
2002,Suonenjoki,Debts total,19842
2002,Tervo,Debts total,19642
2002,Vesanto,Debts total,16885
2002,Leppävirta,Debts total,24838
2002,Varkaus,Debts total,22069
2002,Iisalmi,Debts total,24090
2002,Keitele,Debts total,23113
2002,Kiuruvesi,Debts total,29259
2002,Lapinlahti,Debts total,26734
2002,Pielavesi,Debts total,22867
2002,Sonkajärvi,Debts total,23665
2002,Vieremä,Debts total,35516
2002,Ilomantsi,Debts total,12825
2002,Joensuu,Debts total,20955
2002,Juuka,Debts total,14738
2002,Kontiolahti,Debts total,44424
2002,Liperi,Debts total,26132
2002,Outokumpu,Debts total,16570
2002,Polvijärvi,Debts total,17059
2002,Kitee,Debts total,21016
2002,Rääkkylä,Debts total,20943
2002,Tohmajärvi,Debts total,21188
2002,Lieksa,Debts total,14793
2002,Nurmes,Debts total,15054
2002,Halsua,Debts total,29285
2002,Kaustinen,Debts total,33053
2002,Lestijärvi,Debts total,30694
2002,Perho,Debts total,29706
2002,Toholampi,Debts total,35785
2002,Veteli,Debts total,26378
2002,Kannus,Debts total,37822
2002,Kokkola,Debts total,33529
2002,Haapavesi,Debts total,28565
2002,Pyhäntä,Debts total,28053
2002,Siikalatva,Debts total,26899
2002,Kuusamo,Debts total,26095
2002,Taivalkoski,Debts total,19039
2002,Haapajärvi,Debts total,28366
2002,Kärsämäki,Debts total,29444
2002,Nivala,Debts total,36122
2002,Pyhäjärvi,Debts total,20577
2002,Reisjärvi,Debts total,33624
2002,Hailuoto,Debts total,22838
2002,Kempele,Debts total,48693
2002,Liminka,Debts total,49110
2002,Lumijoki,Debts total,38170
2002,Muhos,Debts total,32554
2002,Oulu,Debts total,30292
2002,Tyrnävä,Debts total,47385
2002,Ii,Debts total,26383
2002,Pudasjärvi,Debts total,19646
2002,Utajärvi,Debts total,29462
2002,Vaala,Debts total,20931
2002,Pyhäjoki,Debts total,25451
2002,Raahe,Debts total,27185
2002,Siikajoki,Debts total,35259
2002,Alavieska,Debts total,30378
2002,Kalajoki,Debts total,38089
2002,Merijärvi,Debts total,28170
2002,Oulainen,Debts total,33205
2002,Sievi,Debts total,38042
2002,Ylivieska,Debts total,32268
2002,Kajaani,Debts total,25817
2002,Paltamo,Debts total,18856
2002,Ristijärvi,Debts total,15073
2002,Sotkamo,Debts total,26428
2002,Hyrynsalmi,Debts total,15124
2002,Kuhmo,Debts total,17522
2002,Puolanka,Debts total,15839
2002,Suomussalmi,Debts total,16746
2002,Kemijärvi,Debts total,15993
2002,Pelkosenniemi,Debts total,14689
2002,Posio,Debts total,17638
2002,Salla,Debts total,16396
2002,Savukoski,Debts total,16028
2002,Kemi,Debts total,20399
2002,Keminmaa,Debts total,29964
2002,Simo,Debts total,21978
2002,Tervola,Debts total,20927
2002,Tornio,Debts total,30838
2002,Inari,Debts total,20704
2002,Sodankylä,Debts total,22829
2002,Utsjoki,Debts total,25182
2002,Ranua,Debts total,21204
2002,Rovaniemi,Debts total,25883
2002,Pello,Debts total,18163
2002,Ylitornio,Debts total,24621
2002,Enontekiö,Debts total,22474
2002,Kittilä,Debts total,21754
2002,Kolari,Debts total,19485
2002,Muonio,Debts total,23721
2002,Maarianhamina - Mariehamn,Debts total,35128
2002,Eckerö,Debts total,41222
2002,Finström,Debts total,46919
2002,Geta,Debts total,39405
2002,Hammarland,Debts total,51291
2002,Jomala,Debts total,55562
2002,Lemland,Debts total,57715
2002,Lumparland,Debts total,51513
2002,Saltvik,Debts total,43582
2002,Sund,Debts total,43583
2002,Brändö,Debts total,24816
2002,Föglö,Debts total,30620
2002,Kumlinge,Debts total,23588
2002,Kökar,Debts total,25199
2002,Sottunga,Debts total,29526
2002,Vårdö,Debts total,46895
2003,Espoo,Debts total,46144
2003,Helsinki,Debts total,28973
2003,Hyvinkää,Debts total,34005
2003,Järvenpää,Debts total,42884
2003,Karkkila,Debts total,31212
2003,Kauniainen,Debts total,62918
2003,Kerava,Debts total,34778
2003,Kirkkonummi,Debts total,53955
2003,Lohja,Debts total,35719
2003,Mäntsälä,Debts total,46081
2003,Nurmijärvi,Debts total,54249
2003,Pornainen,Debts total,58121
2003,Sipoo,Debts total,50002
2003,Siuntio,Debts total,61045
2003,Tuusula,Debts total,52181
2003,Vantaa,Debts total,35341
2003,Vihti,Debts total,50472
2003,Lapinjärvi,Debts total,33970
2003,Loviisa,Debts total,28264
2003,Askola,Debts total,48941
2003,Myrskylä,Debts total,31563
2003,Porvoo,Debts total,39388
2003,Pukkila,Debts total,46475
2003,Hanko,Debts total,28636
2003,Inkoo,Debts total,47270
2003,Raasepori,Debts total,30612
2003,Aura,Debts total,45228
2003,Koski Tl,Debts total,36059
2003,Loimaa,Debts total,32920
2003,Marttila,Debts total,43361
2003,Oripää,Debts total,41665
2003,Pöytyä,Debts total,38577
2003,Salo,Debts total,35601
2003,Somero,Debts total,37789
2003,Kaarina,Debts total,46022
2003,Lieto,Debts total,48197
2003,Masku,Debts total,55812
2003,Mynämäki,Debts total,43846
2003,Naantali,Debts total,45808
2003,Nousiainen,Debts total,52573
2003,Paimio,Debts total,42191
2003,Raisio,Debts total,36361
2003,Rusko,Debts total,59880
2003,Sauvo,Debts total,47618
2003,Turku,Debts total,23109
2003,Kustavi,Debts total,28852
2003,Laitila,Debts total,35257
2003,Pyhäranta,Debts total,31714
2003,Taivassalo,Debts total,37178
2003,Uusikaupunki,Debts total,26194
2003,Vehmaa,Debts total,45892
2003,Kemiönsaari,Debts total,28665
2003,Parainen,Debts total,36154
2003,Forssa,Debts total,24769
2003,Humppila,Debts total,33403
2003,Jokioinen,Debts total,37803
2003,Tammela,Debts total,33738
2003,Ypäjä,Debts total,37041
2003,Hattula,Debts total,40949
2003,Hämeenlinna,Debts total,31203
2003,Janakkala,Debts total,35225
2003,Hausjärvi,Debts total,49716
2003,Loppi,Debts total,37589
2003,Riihimäki,Debts total,29082
2003,Asikkala,Debts total,32032
2003,Hartola,Debts total,24605
2003,Heinola,Debts total,23135
2003,Hollola,Debts total,38190
2003,Kärkölä,Debts total,31853
2003,Lahti,Debts total,25970
2003,Orimattila,Debts total,32037
2003,Padasjoki,Debts total,24695
2003,Sysmä,Debts total,27136
2003,Hamina,Debts total,27004
2003,Kotka,Debts total,23823
2003,Miehikkälä,Debts total,24599
2003,Pyhtää,Debts total,31290
2003,Virolahti,Debts total,22921
2003,Iitti,Debts total,26534
2003,Kouvola,Debts total,24542
2003,Imatra,Debts total,24271
2003,Parikkala,Debts total,21823
2003,Rautjärvi,Debts total,21731
2003,Ruokolahti,Debts total,28119
2003,Lappeenranta,Debts total,26694
2003,Lemi,Debts total,38787
2003,Luumäki,Debts total,24009
2003,Savitaipale,Debts total,21397
2003,Taipalsaari,Debts total,46035
2003,Jämijärvi,Debts total,33534
2003,Kankaanpää,Debts total,28496
2003,Karvia,Debts total,31900
2003,Siikainen,Debts total,26750
2003,Harjavalta,Debts total,23321
2003,Huittinen,Debts total,35320
2003,Kokemäki,Debts total,25863
2003,Merikarvia,Debts total,22712
2003,Nakkila,Debts total,31844
2003,Pomarkku,Debts total,22903
2003,Pori,Debts total,26897
2003,Ulvila,Debts total,33573
2003,Eura,Debts total,28696
2003,Eurajoki,Debts total,37080
2003,Rauma,Debts total,27727
2003,Säkylä,Debts total,32654
2003,Akaa,Debts total,31712
2003,Urjala,Debts total,24947
2003,Valkeakoski,Debts total,26723
2003,Punkalaidun,Debts total,29794
2003,Sastamala,Debts total,28921
2003,Ikaalinen,Debts total,27023
2003,Kihniö,Debts total,24672
2003,Parkano,Debts total,24087
2003,Hämeenkyrö,Debts total,29580
2003,Kangasala,Debts total,40292
2003,Lempäälä,Debts total,44010
2003,Nokia,Debts total,36287
2003,Orivesi,Debts total,29641
2003,Pirkkala,Debts total,48135
2003,Pälkäne,Debts total,35417
2003,Tampere,Debts total,25957
2003,Vesilahti,Debts total,45602
2003,Ylöjärvi,Debts total,41762
2003,Juupajoki,Debts total,26911
2003,Mänttä-Vilppula,Debts total,23886
2003,Ruovesi,Debts total,23875
2003,Virrat,Debts total,25108
2003,Joutsa,Debts total,26845
2003,Luhanka,Debts total,21566
2003,Hankasalmi,Debts total,26789
2003,Jyväskylä,Debts total,28815
2003,Laukaa,Debts total,38280
2003,Muurame,Debts total,45705
2003,Petäjävesi,Debts total,25771
2003,Toivakka,Debts total,28563
2003,Uurainen,Debts total,35241
2003,Jämsä,Debts total,26752
2003,Kuhmoinen,Debts total,22122
2003,Keuruu,Debts total,24475
2003,Multia,Debts total,21688
2003,Kannonkoski,Debts total,21997
2003,Karstula,Debts total,25357
2003,Kinnula,Debts total,25222
2003,Kivijärvi,Debts total,18932
2003,Kyyjärvi,Debts total,22264
2003,Pihtipudas,Debts total,26568
2003,Saarijärvi,Debts total,26080
2003,Viitasaari,Debts total,23247
2003,Konnevesi,Debts total,30180
2003,Äänekoski,Debts total,27537
2003,Alajärvi,Debts total,27756
2003,Evijärvi,Debts total,37100
2003,Lappajärvi,Debts total,22508
2003,Soini,Debts total,23931
2003,Vimpeli,Debts total,28718
2003,Alavus,Debts total,27312
2003,Kuortane,Debts total,26201
2003,Ähtäri,Debts total,25801
2003,Ilmajoki,Debts total,40729
2003,Kauhava,Debts total,31321
2003,Kurikka,Debts total,31907
2003,Lapua,Debts total,34703
2003,Seinäjoki,Debts total,36923
2003,Isojoki,Debts total,25773
2003,Karijoki,Debts total,32134
2003,Kauhajoki,Debts total,34461
2003,Teuva,Debts total,28770
2003,Kruunupyy,Debts total,41590
2003,Luoto,Debts total,53060
2003,Pedersören kunta,Debts total,47018
2003,Pietarsaari,Debts total,35207
2003,Uusikaarlepyy,Debts total,35609
2003,Isokyrö,Debts total,35414
2003,Laihia,Debts total,37543
2003,Kaskinen,Debts total,25147
2003,Kristiinankaupunki,Debts total,32426
2003,Närpiö,Debts total,38693
2003,Korsnäs,Debts total,30414
2003,Maalahti,Debts total,39599
2003,Mustasaari,Debts total,46754
2003,Vaasa,Debts total,31084
2003,Vöyri,Debts total,41512
2003,Hirvensalmi,Debts total,27513
2003,Kangasniemi,Debts total,22316
2003,Mikkeli,Debts total,29526
2003,Mäntyharju,Debts total,21993
2003,Pertunmaa,Debts total,22140
2003,Puumala,Debts total,28512
2003,Joroinen,Debts total,28946
2003,Juva,Debts total,30865
2003,Pieksämäki,Debts total,20782
2003,Enonkoski,Debts total,28048
2003,Heinävesi,Debts total,18492
2003,Rantasalmi,Debts total,34681
2003,Savonlinna,Debts total,24298
2003,Sulkava,Debts total,24024
2003,Kaavi,Debts total,16974
2003,Rautavaara,Debts total,15715
2003,Tuusniemi,Debts total,21054
2003,Kuopio,Debts total,27647
2003,Siilinjärvi,Debts total,39546
2003,Rautalampi,Debts total,21813
2003,Suonenjoki,Debts total,21347
2003,Tervo,Debts total,20145
2003,Vesanto,Debts total,17788
2003,Leppävirta,Debts total,27369
2003,Varkaus,Debts total,24484
2003,Iisalmi,Debts total,25990
2003,Keitele,Debts total,25066
2003,Kiuruvesi,Debts total,31061
2003,Lapinlahti,Debts total,29778
2003,Pielavesi,Debts total,25026
2003,Sonkajärvi,Debts total,24619
2003,Vieremä,Debts total,38123
2003,Ilomantsi,Debts total,12921
2003,Joensuu,Debts total,23094
2003,Juuka,Debts total,15020
2003,Kontiolahti,Debts total,47734
2003,Liperi,Debts total,29089
2003,Outokumpu,Debts total,17784
2003,Polvijärvi,Debts total,18284
2003,Kitee,Debts total,22362
2003,Rääkkylä,Debts total,22104
2003,Tohmajärvi,Debts total,22686
2003,Lieksa,Debts total,15356
2003,Nurmes,Debts total,16185
2003,Halsua,Debts total,31265
2003,Kaustinen,Debts total,35017
2003,Lestijärvi,Debts total,31983
2003,Perho,Debts total,30455
2003,Toholampi,Debts total,38856
2003,Veteli,Debts total,28541
2003,Kannus,Debts total,40076
2003,Kokkola,Debts total,36307
2003,Haapavesi,Debts total,31371
2003,Pyhäntä,Debts total,28466
2003,Siikalatva,Debts total,28571
2003,Kuusamo,Debts total,28473
2003,Taivalkoski,Debts total,20108
2003,Haapajärvi,Debts total,30994
2003,Kärsämäki,Debts total,32069
2003,Nivala,Debts total,38779
2003,Pyhäjärvi,Debts total,21440
2003,Reisjärvi,Debts total,35878
2003,Hailuoto,Debts total,26237
2003,Kempele,Debts total,56296
2003,Liminka,Debts total,56529
2003,Lumijoki,Debts total,42218
2003,Muhos,Debts total,35271
2003,Oulu,Debts total,33938
2003,Tyrnävä,Debts total,52869
2003,Ii,Debts total,29117
2003,Pudasjärvi,Debts total,20690
2003,Utajärvi,Debts total,31325
2003,Vaala,Debts total,22031
2003,Pyhäjoki,Debts total,27772
2003,Raahe,Debts total,29108
2003,Siikajoki,Debts total,36131
2003,Alavieska,Debts total,31253
2003,Kalajoki,Debts total,40910
2003,Merijärvi,Debts total,29808
2003,Oulainen,Debts total,35129
2003,Sievi,Debts total,41542
2003,Ylivieska,Debts total,35490
2003,Kajaani,Debts total,27632
2003,Paltamo,Debts total,19904
2003,Ristijärvi,Debts total,15422
2003,Sotkamo,Debts total,28940
2003,Hyrynsalmi,Debts total,15259
2003,Kuhmo,Debts total,18008
2003,Puolanka,Debts total,16957
2003,Suomussalmi,Debts total,17627
2003,Kemijärvi,Debts total,16692
2003,Pelkosenniemi,Debts total,15114
2003,Posio,Debts total,17731
2003,Salla,Debts total,16353
2003,Savukoski,Debts total,17910
2003,Kemi,Debts total,22034
2003,Keminmaa,Debts total,32613
2003,Simo,Debts total,23290
2003,Tervola,Debts total,21855
2003,Tornio,Debts total,33703
2003,Inari,Debts total,21366
2003,Sodankylä,Debts total,23666
2003,Utsjoki,Debts total,24688
2003,Ranua,Debts total,22003
2003,Rovaniemi,Debts total,28105
2003,Pello,Debts total,19365
2003,Ylitornio,Debts total,25528
2003,Enontekiö,Debts total,23264
2003,Kittilä,Debts total,24750
2003,Kolari,Debts total,21033
2003,Muonio,Debts total,25775
2003,Maarianhamina - Mariehamn,Debts total,39278
2003,Eckerö,Debts total,41455
2003,Finström,Debts total,51405
2003,Geta,Debts total,40340
2003,Hammarland,Debts total,53273
2003,Jomala,Debts total,61236
2003,Lemland,Debts total,65914
2003,Lumparland,Debts total,52574
2003,Saltvik,Debts total,46364
2003,Sund,Debts total,46365
2003,Brändö,Debts total,27831
2003,Föglö,Debts total,32957
2003,Kumlinge,Debts total,23389
2003,Kökar,Debts total,25576
2003,Sottunga,Debts total,27134
2003,Vårdö,Debts total,44654
2004,Espoo,Debts total,52985
2004,Helsinki,Debts total,33509
2004,Hyvinkää,Debts total,39116
